GENER00  1.00e+25  1.00e-06                                0.00
VERTICES
  0 172599.109211005.92
  1 172467.159211333.63
  2 172678.339211960.21
  3 172567.389212118.20
  4 173134.789202722.85
  5 172833.889203299.34
  6 173218.479205951.86
  7 173251.139206529.92
  8 173360.309204393.17
  9 173517.259204656.50
  b 172567.389200349.65
  c 172479.959201134.22
  d 172690.309200524.69
  e 172716.949201760.07
  f 172624.319201918.79
  g 172212.849202703.36
  h 172628.239202019.03
  i 172619.129203372.68
  j 172532.849203487.93
  k 172430.849204272.50
  l 172532.849204166.77
  m 172416.249205057.07
  n 172437.969205841.64
  o 172578.609205232.13
  p 172578.609205702.17
  q 172399.399206626.21
  r 172588.279206833.73
  s 172588.279207410.78
  t 172442.679208195.35
  u 172607.989207439.90
  v 172759.379208748.95
  w 172624.169208979.92
  x 172642.939209764.49
  y 172653.589209756.20
  z 172351.209210549.06
 a0 174361.849210128.03
 a1 174191.109211068.72
 a2 174355.229210923.20
 a3 174325.519201256.44
 a4 174063.879201874.00
 a5 174195.989203780.49
 a6 173958.309204623.56
 a7 174267.959204218.87
 a8 174369.739211968.35
 a9 174490.849205121.91
 aa 173407.209204897.72
 ab 173323.579209989.41
 ac 173325.069210841.04
 ad 173560.559207598.73
 ae 173443.869208608.98
 af 173539.619203634.62
 ag 173659.679211107.70
 ah 173303.839211929.25
 ai 173105.029200536.57
 aj 173545.449200985.36
 ak 173349.339201663.00
 al 173684.619199976.30
 am 173684.619212287.63
 an 173663.199205668.72
 ao 173725.919206816.01
 ap 173693.559207498.61
 aq 173948.569208924.27
 ar 173851.339209753.18
 as 173793.939201946.70
 at 173656.579202626.08
 au 173924.089202920.27
 av 173746.719203541.02
 aw 173925.459205744.26
 ax 174251.099206430.60
 ay 174148.029200424.28
 az 173987.429200889.65
 b0 174953.099203953.87
 b1 175280.269207756.62
 b2 175263.779207884.31
 b3 175145.889211074.59
 b4 174947.619212092.56
 b5 175202.929211246.83
 b6 175094.749203035.31
 b7 175070.509203415.37
 b8 175138.089203087.77
 b9 175423.249206661.75
 ba 174513.779205259.31
 bb 174192.569207616.95
 bc 174592.239208349.12
 bd 174501.619208713.34
 be 174672.989202209.55
 bf 174465.339202863.48
 bg 174801.839200267.72
 bh 174801.839212187.49
 bi 174567.009203563.04
 bj 174471.549202870.36
 bk 174254.169206431.13
 bl 174809.819207109.16
 bm 174798.529207197.53
 bn 174816.959201171.08
 bo 174948.329200427.46
 bp 174889.609205508.96
 bq 175020.949205939.34
 br 174997.999206023.60
 bs 174789.859204292.56
 bt 174945.619204584.10
 bu 175150.009209143.63
 bv 175076.629209833.52
 bw 175199.839209264.78
 bx 175159.359201514.48
 by 174901.049202129.12
 bz 174813.219203637.24
