MD,P,T
0.0,21.7,29.26
68.0,21.9,61.59
118.0,22.1,100.35
168.0,22.4,117.06
218.0,22.6,118.68
268.0,22.7,119.9
318.0,22.9,122.31
368.0,23.03,129.32
418.0,23.12,145.1
468.0,23.28,182.34
518.0,23.9,218.52
568.0,24.24,222.4
618.0,24.37,223.66
668.0,24.51,224.4
718.0,24.6,224.5
768.0,27.66,224.03
818.0,31.17,223.15
868.0,34.77,224.73
918.0,38.42,225.94
968.0,41.98,225.94
1018.0,45.56,225.94
1068.0,49.2,223.47
1118.0,52.71,222.45
1168.0,56.29,220.36
1218.0,59.82,218.7
1268.0,63.33,217.46
1318.0,66.92,217.5
1368.0,70.53,217.96
1418.0,74.18,217.83
1435.0,75.22,216.86
