MD,P,T
0.0,0.91,93.59
107.0,0.91,107.17
207.0,0.91,110.7
307.0,0.91,111.68
407.0,1.44,127.57
507.0,5.12,143.91
607.0,14.12,170.65
707.0,23.03,181.42
757.0,27.58,190.81
807.0,31.93,206.96
857.0,36.4,212.46
907.0,40.77,231.74
957.0,45.2,236.97
1007.0,49.49,245.12
1057.0,53.79,246.76
1107.0,57.89,247.66
1157.0,62.02,250.38
1207.0,65.99,251.87
1257.0,70.37,252.83
1307.0,74.44,253.39
1357.0,78.62,253.91
1407.0,82.74,254.22
1457.0,86.83,254.42
1507.0,90.83,248.89
1557.0,94.83,240.46
1565.0,95.52,238.44
