MD,P,T
0.0,0.0,133.44
189.0,0.0,161.97
289.0,0.0,169.49
389.0,0.0,180.27
489.0,0.0,200.23
589.0,0.0,217.6
689.0,0.0,230.22
789.0,0.0,238.11
839.0,0.0,242.91
889.0,0.0,245.67
939.0,0.0,247.93
989.0,0.0,249.32
1039.0,0.0,249.73
1064.0,0.0,250.56
1089.0,0.0,251.23
1114.0,0.0,251.15
1139.0,0.0,251.06
1164.0,0.0,249.9
1189.0,0.0,249.32
1214.0,0.0,248.91
1239.0,0.0,248.74
1264.0,0.0,247.93
1289.0,0.0,247.52
1314.0,0.0,247.12
1339.0,0.0,246.87
1364.0,0.0,0.0
1389.0,0.0,0.0
1414.0,0.0,0.0
1439.0,0.0,0.0
1489.0,0.0,0.0
1525.0,0.0,0.0
