MD,P,T
0.08,12.573,193.21
1.0,12.576,193.248
5.0,12.581,193.329
9.0,12.593,193.37
13.0,12.595,193.397
17.0,12.603,193.42
21.0,12.609,193.45
25.0,12.62,193.47
29.0,12.625,193.49
33.0,12.626,193.51
37.0,12.633,193.53
41.0,12.63,193.551
45.0,12.646,193.577
49.0,12.657,193.609
53.0,12.659,193.64
57.0,12.669,193.651
61.0,12.67,193.68
65.0,12.683,193.69
69.0,12.686,193.714
73.0,12.693,193.734
77.0,12.697,193.75
81.0,12.706,193.78
85.0,12.714,193.8
89.0,12.715,193.818
93.0,12.726,193.844
97.0,12.725,193.857
101.0,12.737,193.881
105.0,12.744,193.91
109.0,12.75,193.94
113.0,12.757,193.96
117.0,12.759,193.982
121.0,12.772,194.008
125.0,12.775,194.03
129.0,12.783,194.053
133.0,12.786,194.073
137.0,12.793,194.104
141.0,12.801,194.132
145.0,12.807,194.169
149.0,12.815,194.206
153.0,12.818,194.237
157.0,12.824,194.291
161.0,12.836,194.315
165.0,12.84,194.366
169.0,12.842,194.34
173.0,12.843,194.38
177.0,12.853,194.41
181.0,12.861,194.431
185.0,12.866,194.483
189.0,12.871,194.51
193.0,12.876,194.501
197.0,12.881,194.521
201.0,12.885,194.542
205.0,12.899,194.557
209.0,12.9,194.6
213.0,12.906,194.626
217.0,12.914,194.658
221.0,12.923,194.679
225.0,12.924,194.69
229.0,12.934,194.687
233.0,12.941,194.735
237.0,12.943,194.74
241.0,12.952,194.757
245.0,12.957,194.78
249.0,12.964,194.8
253.0,12.973,194.83
257.0,12.979,194.85
261.0,12.987,194.86
265.0,12.993,194.89
269.0,12.991,194.9
273.0,13.008,194.93
277.0,13.01,194.958
281.0,13.017,194.97
285.0,13.024,195.004
289.0,13.029,194.982
293.0,13.037,195.01
297.0,13.044,195.059
301.0,13.051,195.1
305.0,13.05,195.12
309.0,13.064,195.146
313.0,13.067,195.178
317.0,13.071,195.204
321.0,13.075,195.191
325.0,13.084,195.22
329.0,13.092,195.239
333.0,13.094,195.246
337.0,13.098,195.263
341.0,13.106,195.285
345.0,13.11,195.29
349.0,13.121,195.306
353.0,13.12,195.334
357.0,13.132,195.356
361.0,13.134,195.37
365.0,13.139,195.4
369.0,13.144,195.41
373.0,13.151,195.44
377.0,13.157,195.461
381.0,13.162,195.47
385.0,13.163,195.49
