MD,P,T
0.0,1.467,127.191
2.0,1.468,127.197
4.0,1.467,127.197
6.0,1.468,127.204
8.0,1.468,127.206
10.0,1.468,127.21
12.0,1.468,127.21
14.0,1.468,127.212
16.0,1.468,127.214
18.0,1.469,127.216
20.0,1.469,127.219
22.0,1.469,127.225
24.0,1.469,127.229
26.0,1.469,127.23
28.0,1.47,127.235
30.0,1.47,127.238
32.0,1.47,127.239
34.0,1.471,127.244
36.0,1.471,127.248
38.0,1.471,127.248
40.0,1.47,127.248
42.0,1.47,127.253
44.0,1.471,127.256
46.0,1.471,127.256
48.0,1.472,127.259
50.0,1.472,127.267
52.0,1.473,127.27
54.0,1.472,127.269
56.0,1.473,127.269
58.0,1.473,127.27
60.0,1.474,127.277
62.0,1.474,127.28
64.0,1.473,127.278
66.0,1.474,127.279
68.0,1.475,127.288
70.0,1.474,127.294
72.0,1.474,127.294
74.0,1.474,127.292
76.0,1.474,127.293
78.0,1.476,127.308
80.0,1.476,127.309
82.0,1.476,127.31
84.0,1.477,127.315
86.0,1.476,127.319
88.0,1.476,127.322
90.0,1.477,127.325
92.0,1.477,127.327
94.0,1.477,127.329
96.0,1.477,127.331
98.0,1.478,127.334
100.0,1.477,127.336
102.0,1.478,127.339
104.0,1.478,127.344
106.0,1.479,127.346
108.0,1.478,127.345
110.0,1.478,127.348
112.0,1.479,127.356
114.0,1.479,127.357
116.0,1.479,127.358
118.0,1.479,127.36
120.0,1.48,127.369
122.0,1.48,127.373
124.0,1.481,127.373
126.0,1.481,127.377
128.0,1.481,127.382
130.0,1.481,127.384
132.0,1.48,127.385
134.0,1.482,127.39
136.0,1.483,127.397
138.0,1.483,127.397
140.0,1.482,127.398
142.0,1.483,127.405
144.0,1.483,127.409
146.0,1.483,127.409
148.0,1.484,127.415
150.0,1.483,127.419
152.0,1.483,127.421
154.0,1.482,127.424
156.0,1.483,127.425
158.0,1.483,127.426
160.0,1.483,127.424
162.0,1.483,127.428
164.0,1.484,127.437
166.0,1.484,127.435
168.0,1.484,127.433
170.0,1.485,127.444
172.0,1.485,127.448
174.0,1.485,127.452
176.0,1.485,127.457
178.0,1.486,127.459
180.0,1.486,127.459
182.0,1.487,127.465
184.0,1.486,127.467
186.0,1.486,127.468
188.0,1.487,127.468
190.0,1.487,127.468
192.0,1.486,127.469
194.0,1.486,127.47
196.0,1.487,127.477
198.0,1.487,127.481
200.0,1.487,127.482
202.0,1.488,127.49
204.0,1.488,127.494
206.0,1.488,127.497
208.0,1.489,127.502
210.0,1.489,127.504
212.0,1.489,127.506
214.0,1.489,127.51
216.0,1.49,127.514
218.0,1.49,127.515
220.0,1.49,127.515
222.0,1.491,127.519
224.0,1.491,127.524
226.0,1.491,127.526
228.0,1.491,127.528
230.0,1.491,127.531
232.0,1.491,127.535
234.0,1.492,127.538
236.0,1.492,127.543
238.0,1.493,127.546
240.0,1.492,127.547
242.0,1.493,127.55
244.0,1.493,127.557
246.0,1.493,127.555
248.0,1.493,127.555
250.0,1.493,127.564
252.0,1.494,127.568
254.0,1.494,127.569
256.0,1.494,127.57
258.0,1.495,127.575
260.0,1.495,127.577
262.0,1.495,127.582
264.0,1.497,127.586
266.0,1.494,127.586
268.0,1.495,127.588
270.0,1.496,127.594
272.0,1.496,127.593
274.0,1.495,127.596
276.0,1.496,127.601
278.0,1.496,127.617
280.0,1.496,127.62
282.0,1.497,127.617
284.0,1.498,127.623
286.0,1.497,127.624
288.0,1.497,127.624
290.0,1.497,127.631
292.0,1.498,127.635
294.0,1.498,127.638
296.0,1.498,127.638
298.0,1.499,127.643
300.0,1.499,127.644
302.0,1.499,127.644
304.0,1.5,127.647
306.0,1.5,127.654
308.0,1.5,127.659
310.0,1.5,127.66
312.0,1.501,127.661
314.0,1.501,127.667
316.0,1.5,127.67
318.0,1.502,127.67
320.0,1.502,127.672
322.0,1.502,127.677
324.0,1.501,127.683
326.0,1.502,127.684
328.0,1.503,127.69
330.0,1.502,127.693
332.0,1.503,127.695
334.0,1.502,127.697
336.0,1.503,127.701
338.0,1.504,127.71
340.0,1.503,127.711
342.0,1.503,127.707
344.0,1.503,127.706
346.0,1.504,127.717
348.0,1.504,127.721
350.0,1.504,127.718
352.0,1.505,127.72
354.0,1.504,127.725
356.0,1.505,127.728
358.0,1.506,127.73
360.0,1.506,127.732
362.0,1.507,127.738
364.0,1.505,127.743
366.0,1.506,127.743
368.0,1.507,127.745
370.0,1.508,127.749
372.0,1.507,127.754
374.0,1.508,127.757
376.0,1.508,127.757
378.0,1.507,127.757
380.0,1.508,127.759
382.0,1.509,127.764
384.0,1.509,127.772
386.0,1.509,127.773
388.0,1.509,127.775
390.0,1.509,127.777
392.0,1.51,127.782
394.0,1.51,127.785
396.0,1.51,127.782
398.0,1.51,127.78
400.0,1.51,127.789
402.0,1.511,127.793
404.0,1.511,127.79
406.0,1.51,127.789
408.0,1.512,127.796
410.0,1.511,127.801
412.0,1.511,127.799
414.0,1.512,127.803
416.0,1.512,127.811
418.0,1.513,127.812
420.0,1.512,127.811
422.0,1.512,127.81
424.0,1.514,127.817
426.0,1.514,127.823
428.0,1.514,127.825
430.0,1.515,127.828
432.0,1.514,127.827
434.0,1.515,127.822
436.0,1.515,127.823
438.0,1.516,127.829
440.0,1.516,127.828
442.0,1.661,128.26
444.0,1.807,128.979
446.0,1.949,130.239
448.0,2.126,131.597
450.0,2.306,133.183
452.0,2.481,135.028
454.0,2.661,136.572
456.0,2.853,138.513
458.0,3.028,140.022
460.0,3.193,141.533
462.0,3.375,143.045
464.0,3.581,144.797
466.0,3.773,146.334
468.0,3.95,147.892
470.0,4.132,149.228
472.0,4.315,150.593
474.0,4.495,151.9
476.0,4.667,153.041
478.0,4.829,154.392
480.0,4.994,155.516
482.0,5.161,156.669
484.0,5.327,157.744
486.0,5.499,158.713
488.0,5.667,159.821
490.0,5.832,160.681
492.0,5.999,161.664
494.0,6.174,162.678
496.0,6.35,163.7
498.0,6.531,164.785
500.0,6.706,165.73
502.0,6.878,166.612
504.0,7.045,167.531
506.0,7.213,168.39
508.0,7.39,169.309
510.0,7.567,170.354
512.0,7.751,171.276
514.0,7.92,172.07
516.0,8.069,172.882
518.0,8.202,173.805
520.0,8.338,174.571
522.0,8.476,175.285
524.0,8.63,176.083
526.0,8.803,176.921
528.0,8.976,177.663
530.0,9.141,178.421
532.0,9.307,179.284
534.0,9.471,179.974
536.0,9.631,180.697
538.0,9.801,181.517
540.0,9.992,182.396
542.0,10.179,183.112
544.0,10.347,183.733
546.0,10.513,184.428
548.0,10.667,185.065
550.0,10.815,185.682
552.0,10.971,186.288
554.0,11.134,187.007
556.0,11.287,187.614
558.0,11.439,188.275
560.0,11.601,188.936
562.0,11.771,189.567
564.0,11.931,190.159
566.0,12.105,190.699
568.0,12.274,191.371
570.0,12.438,191.952
572.0,12.591,192.5
574.0,12.753,193.107
576.0,12.918,193.638
578.0,13.071,194.261
580.0,13.204,194.724
582.0,13.331,195.198
584.0,13.468,195.729
586.0,13.623,196.263
588.0,13.793,196.794
590.0,13.973,197.442
592.0,14.139,197.968
594.0,14.277,198.477
596.0,14.394,198.949
598.0,14.508,199.369
600.0,14.656,199.773
602.0,14.814,200.353
604.0,14.971,200.835
606.0,15.14,201.332
608.0,15.31,201.851
610.0,15.465,202.376
612.0,15.618,202.793
614.0,15.773,203.225
616.0,15.917,203.594
618.0,16.059,204.114
620.0,16.198,204.708
622.0,16.335,204.819
624.0,16.479,204.908
626.0,16.629,204.929
628.0,16.786,204.921
630.0,16.968,204.968
632.0,17.14,205.021
634.0,17.287,205.027
636.0,17.416,205.029
638.0,17.551,205.053
640.0,17.704,205.096
642.0,17.859,205.113
644.0,18.007,205.128
646.0,18.153,205.14
648.0,18.301,205.162
650.0,18.465,205.181
652.0,18.623,205.205
654.0,18.775,205.218
656.0,18.92,205.235
658.0,19.069,205.253
660.0,19.231,205.274
662.0,19.387,205.297
664.0,19.535,205.312
666.0,19.673,205.322
668.0,19.809,205.329
670.0,19.952,205.338
672.0,20.124,205.359
674.0,20.286,205.383
676.0,20.434,205.401
678.0,20.591,205.428
680.0,20.753,205.451
682.0,20.914,205.467
684.0,21.073,205.489
686.0,21.225,205.507
688.0,21.379,205.537
690.0,21.535,205.559
692.0,21.697,205.582
694.0,21.858,205.61
696.0,22.027,205.635
698.0,22.174,205.655
700.0,22.326,205.675
702.0,22.473,205.693
