MD,P,T
0.0,1.175236,35.6613
114.0,1.175236,94.75937
214.0,1.175236,97.24303
314.0,1.175236,98.20369
414.0,2.340663,114.2052
514.0,11.38983,148.7845
614.0,20.14259,183.3603
714.0,29.1437,181.1288
814.0,38.20631,179.1357
914.0,46.99738,184.5131
984.0,53.16262,190.2363
1014.0,55.67659,191.4953
1064.0,60.21038,193.4393
1114.0,64.6245,195.5789
1164.0,68.9575,196.8675
1214.0,73.28488,197.7521
1264.0,77.60725,198.9569
1314.0,81.92516,202.5219
1364.0,86.1648,204.5598
1414.0,90.54974,205.9966
1454.0,94.07774,207.1932
1514.0,99.12539,209.2263
1564.0,103.4655,210.4218
1614.0,107.7298,211.6174
1664.0,111.9926,212.8928
1714.0,116.2174,213.6503
1814.0,124.776,215.0461
1914.0,133.2591,216.5627
2014.0,141.7051,217.8411
2114.0,150.3001,221.5247
2214.0,158.8222,226.2758
2264.0,163.0836,228.3822
