MD,P,T
34.0,0.205,105.613
36.0,0.206,105.625
38.0,0.206,105.638
40.0,0.207,105.652
42.0,0.207,105.665
44.0,0.208,105.677
46.0,0.208,105.689
48.0,0.209,105.702
50.0,0.209,105.711
52.0,0.209,105.721
54.0,0.21,105.731
56.0,0.21,105.74
58.0,0.21,105.749
60.0,0.211,105.757
62.0,0.211,105.767
64.0,0.212,105.779
66.0,0.212,105.793
68.0,0.212,105.8
70.0,0.212,105.805
72.0,0.213,105.812
74.0,0.213,105.817
76.0,0.213,105.825
78.0,0.214,105.835
80.0,0.214,105.847
82.0,0.215,105.858
84.0,0.215,105.869
86.0,0.216,105.88
88.0,0.216,105.89
90.0,0.217,105.9
92.0,0.217,105.911
94.0,0.217,105.921
96.0,0.218,105.93
98.0,0.218,105.939
100.0,0.218,105.948
102.0,0.219,105.956
104.0,0.22,105.964
106.0,0.219,105.972
108.0,0.22,105.98
110.0,0.221,105.986
112.0,0.221,105.994
114.0,0.221,106.002
116.0,0.222,106.01
118.0,0.223,106.018
120.0,0.223,106.025
122.0,0.223,106.033
124.0,0.224,106.041
126.0,0.224,106.049
128.0,0.224,106.057
130.0,0.225,106.064
132.0,0.225,106.072
134.0,0.225,106.08
136.0,0.226,106.089
138.0,0.226,106.097
140.0,0.226,106.104
142.0,0.227,106.111
144.0,0.227,106.118
146.0,0.227,106.125
148.0,0.228,106.132
150.0,0.228,106.139
152.0,0.228,106.146
154.0,0.229,106.152
156.0,0.229,106.16
158.0,0.229,106.166
160.0,0.23,106.176
162.0,0.23,106.185
164.0,0.231,106.193
166.0,0.231,106.203
168.0,0.231,106.21
170.0,0.232,106.218
172.0,0.232,106.227
174.0,0.232,106.235
176.0,0.232,106.242
178.0,0.233,106.248
180.0,0.233,106.255
182.0,0.233,106.262
184.0,0.233,106.268
186.0,0.234,106.274
188.0,0.234,106.281
190.0,0.234,106.287
192.0,0.235,106.294
194.0,0.234,106.301
196.0,0.235,106.306
198.0,0.237,106.292
200.0,0.337,104.991
202.0,0.394,103.718
204.0,0.687,104.197
206.0,0.984,105.675
208.0,1.173,106.908
210.0,1.341,107.911
212.0,1.492,108.858
214.0,1.631,109.734
216.0,1.77,110.494
218.0,1.902,111.187
220.0,2.153,112.174
222.0,2.359,112.942
224.0,2.563,113.621
226.0,2.767,114.257
228.0,2.961,114.696
230.0,3.15,115.219
232.0,3.343,115.669
234.0,3.547,116.095
236.0,3.745,116.418
238.0,3.941,116.76
240.0,4.137,117.104
242.0,4.328,117.404
244.0,4.522,117.718
246.0,4.71,118.004
248.0,4.883,118.256
250.0,5.049,118.52
252.0,5.219,118.784
254.0,5.402,119.066
256.0,5.592,119.352
258.0,5.77,119.634
260.0,5.952,119.868
262.0,6.133,120.042
264.0,6.313,120.067
266.0,6.5,119.761
268.0,6.702,119.399
270.0,6.892,119.298
272.0,7.075,119.291
274.0,7.26,119.341
276.0,7.449,119.417
278.0,7.643,119.508
280.0,7.833,119.615
282.0,8.016,119.711
284.0,8.211,119.838
286.0,8.41,119.945
288.0,8.603,120.07
290.0,8.797,120.193
292.0,8.995,120.315
294.0,9.193,120.451
296.0,9.385,120.589
298.0,9.572,120.711
300.0,9.756,120.849
302.0,9.949,120.978
304.0,10.138,121.099
306.0,10.329,121.228
308.0,10.521,121.357
310.0,10.691,121.485
312.0,10.85,121.6
314.0,11.013,121.71
316.0,11.184,121.833
318.0,11.364,121.942
320.0,11.545,122.045
322.0,11.73,122.125
324.0,11.916,122.191
326.0,12.102,122.236
328.0,12.288,122.269
330.0,12.467,122.281
332.0,12.644,122.25
334.0,12.833,122.159
336.0,13.027,122.106
338.0,13.222,122.109
340.0,13.381,122.133
342.0,13.534,122.168
344.0,13.712,122.221
346.0,13.906,122.316
348.0,14.103,122.472
350.0,14.294,122.689
352.0,14.479,122.931
354.0,14.667,123.162
356.0,14.856,123.453
358.0,15.036,123.809
360.0,15.232,124.298
362.0,15.419,124.802
364.0,15.6,125.282
366.0,15.787,125.821
368.0,15.986,126.449
370.0,16.178,127.046
372.0,16.355,127.595
374.0,16.508,128.102
376.0,16.681,128.582
378.0,16.879,129.115
380.0,17.059,129.478
382.0,17.241,129.805
384.0,17.439,129.979
386.0,17.633,129.992
388.0,17.816,129.454
390.0,18.0,128.126
392.0,18.193,126.909
394.0,18.385,126.09
396.0,18.57,125.62
398.0,18.756,125.381
400.0,18.952,125.323
402.0,19.14,125.367
404.0,19.325,125.473
406.0,19.514,125.611
408.0,19.702,125.811
410.0,19.892,126.032
412.0,20.085,126.254
414.0,20.276,126.464
416.0,20.463,126.656
418.0,20.656,126.828
420.0,20.847,126.974
422.0,21.021,127.112
424.0,21.18,127.23
426.0,21.341,127.361
428.0,21.526,127.535
430.0,21.718,127.739
432.0,21.901,127.911
434.0,22.083,128.091
436.0,22.275,128.257
438.0,22.475,128.416
440.0,22.667,128.557
442.0,22.848,128.693
444.0,23.025,128.84
446.0,23.21,128.981
448.0,23.403,129.115
450.0,23.597,129.263
452.0,23.781,129.387
454.0,23.966,129.49
456.0,24.157,129.584
458.0,24.345,129.663
460.0,24.53,129.743
462.0,24.713,129.802
464.0,24.893,129.858
466.0,25.076,129.895
468.0,25.26,129.914
470.0,25.436,129.88
472.0,25.62,129.735
474.0,25.817,129.481
476.0,26.005,129.342
478.0,26.185,129.295
480.0,26.387,129.276
482.0,26.589,129.243
484.0,26.762,129.151
486.0,26.91,129.054
488.0,27.036,128.993
490.0,27.184,128.955
492.0,27.357,128.949
494.0,27.551,128.986
496.0,27.741,129.079
498.0,27.911,129.214
500.0,28.082,129.388
502.0,28.278,129.571
504.0,28.463,129.755
506.0,28.649,129.947
508.0,28.835,130.151
510.0,29.014,130.337
512.0,29.191,130.536
514.0,29.37,130.736
516.0,29.551,130.962
518.0,29.736,131.142
520.0,29.926,131.321
522.0,30.128,131.51
524.0,30.302,131.641
526.0,30.48,131.772
528.0,30.665,131.899
530.0,30.848,132.048
532.0,31.031,132.225
534.0,31.211,132.415
536.0,31.383,132.6
538.0,31.55,132.727
540.0,31.734,132.801
542.0,31.93,132.666
544.0,32.108,132.254
546.0,32.278,131.94
548.0,32.456,131.801
550.0,32.633,131.74
552.0,32.816,131.724
554.0,32.984,131.751
556.0,33.118,131.804
558.0,33.265,131.859
560.0,33.447,131.969
562.0,33.635,132.101
564.0,33.805,132.239
566.0,33.989,132.38
568.0,34.172,132.501
570.0,34.348,132.62
572.0,34.523,132.729
574.0,34.701,132.867
576.0,34.876,132.98
578.0,35.038,133.084
580.0,35.222,133.186
582.0,35.401,133.245
584.0,35.578,133.199
586.0,35.77,132.822
588.0,35.941,132.279
590.0,36.111,132.065
592.0,36.286,132.026
594.0,36.469,132.062
596.0,36.656,132.168
598.0,36.831,132.308
600.0,37.014,132.482
602.0,37.192,132.675
604.0,37.357,132.888
606.0,37.524,133.097
608.0,37.692,133.255
610.0,37.875,133.396
612.0,38.051,133.423
614.0,38.217,133.152
616.0,38.386,132.448
618.0,38.546,131.948
620.0,38.701,131.726
622.0,38.865,131.627
624.0,39.031,131.555
626.0,39.198,131.472
628.0,39.367,131.3
630.0,39.536,131.112
632.0,39.71,130.943
634.0,39.892,130.821
636.0,40.068,130.766
638.0,40.243,130.735
640.0,40.413,130.719
642.0,40.563,130.721
644.0,40.712,130.749
646.0,40.886,130.799
648.0,41.065,130.861
650.0,41.239,130.927
652.0,41.419,130.979
654.0,41.598,131.044
656.0,41.76,131.105
658.0,41.92,131.151
660.0,42.085,131.21
662.0,42.256,131.265
664.0,42.424,131.313
666.0,42.592,131.38
668.0,42.765,131.44
670.0,42.937,131.489
672.0,43.101,131.526
674.0,43.274,131.564
676.0,43.438,131.595
678.0,43.602,131.616
680.0,43.774,131.628
682.0,43.947,131.64
684.0,44.122,131.65
686.0,44.294,131.665
688.0,44.46,131.705
690.0,44.622,131.757
692.0,44.782,131.814
694.0,44.96,131.877
696.0,45.128,131.917
698.0,45.284,131.925
700.0,45.444,131.851
702.0,45.583,131.679
704.0,45.678,131.499
706.0,45.822,131.417
708.0,46.033,131.344
710.0,46.216,131.271
712.0,46.39,131.204
714.0,46.557,131.14
716.0,46.721,131.113
718.0,46.88,131.144
720.0,47.032,131.185
722.0,47.191,131.192
724.0,47.358,131.194
726.0,47.508,131.196
728.0,47.654,131.197
730.0,47.806,131.197
732.0,47.96,131.197
734.0,48.125,131.197
736.0,48.311,131.197
738.0,48.495,131.195
740.0,48.665,131.195
742.0,48.822,131.195
744.0,48.988,131.195
746.0,49.168,131.192
748.0,49.329,131.19
750.0,49.473,131.189
752.0,49.597,131.188
754.0,49.735,131.188
756.0,49.894,131.188
758.0,50.051,131.188
760.0,50.25,131.187
762.0,50.427,131.187
764.0,50.581,131.186
766.0,50.754,131.185
768.0,50.917,131.183
770.0,51.079,131.182
772.0,51.26,131.184
774.0,51.423,131.184
776.0,51.598,131.185
778.0,51.768,131.187
780.0,51.946,131.189
782.0,52.121,131.192
784.0,52.305,131.197
786.0,52.481,131.202
788.0,52.66,131.207
790.0,52.839,131.212
792.0,53.016,131.218
794.0,53.192,131.223
796.0,53.369,131.228
798.0,53.539,131.231
800.0,53.704,131.235
802.0,53.876,131.239
804.0,54.046,131.244
806.0,54.215,131.247
808.0,54.388,131.252
810.0,54.559,131.256
812.0,54.73,131.261
814.0,54.899,131.265
816.0,55.072,131.271
818.0,55.244,131.283
820.0,55.412,131.302
822.0,55.578,131.309
824.0,55.751,131.337
826.0,55.927,131.373
828.0,56.099,131.411
830.0,56.279,131.448
832.0,56.457,131.466
834.0,56.631,131.491
836.0,56.806,131.508
838.0,56.98,131.522
840.0,57.162,131.534
842.0,57.341,131.556
844.0,57.485,131.578
846.0,57.601,131.589
848.0,57.725,131.597
850.0,57.902,131.618
852.0,58.077,131.653
854.0,58.249,131.701
856.0,58.426,131.736
858.0,58.631,131.771
860.0,58.808,131.802
862.0,58.992,131.833
864.0,59.172,131.858
866.0,59.348,131.881
868.0,59.523,131.914
870.0,59.693,131.934
872.0,59.873,131.949
874.0,60.046,131.969
876.0,60.218,131.99
878.0,60.392,132.011
880.0,60.562,132.024
882.0,60.736,132.04
884.0,60.92,132.05
886.0,61.096,132.021
888.0,61.27,131.93
890.0,61.45,131.794
892.0,61.626,131.673
894.0,61.805,131.617
896.0,61.99,131.588
898.0,62.168,131.573
900.0,62.336,131.564
902.0,62.505,131.558
904.0,62.677,131.552
906.0,62.852,131.536
908.0,63.033,131.479
910.0,63.207,131.306
912.0,63.378,130.924
914.0,63.551,130.262
916.0,63.727,129.25
918.0,63.909,127.758
920.0,64.096,126.192
922.0,64.271,124.507
924.0,64.44,122.917
926.0,64.614,121.525
928.0,64.789,120.419
930.0,64.95,119.348
932.0,65.077,118.458
934.0,65.22,117.794
936.0,65.395,117.039
938.0,65.566,116.391
940.0,65.746,115.945
942.0,65.931,115.662
944.0,66.109,115.48
946.0,66.287,115.375
948.0,66.467,115.307
950.0,66.648,115.271
952.0,66.826,115.193
954.0,67.009,114.963
956.0,67.189,114.737
958.0,67.366,114.632
960.0,67.544,114.564
962.0,67.726,114.546
964.0,67.901,114.548
966.0,68.076,114.546
968.0,68.251,114.543
970.0,68.425,114.544
972.0,68.595,114.545
974.0,68.768,114.547
976.0,68.944,114.555
978.0,69.126,114.581
980.0,69.309,114.615
982.0,69.485,114.644
984.0,69.655,114.658
986.0,69.826,114.669
988.0,70.005,114.693
990.0,70.186,114.707
992.0,70.367,114.712
994.0,70.549,114.72
996.0,70.733,114.737
998.0,70.917,114.76
1000.0,71.097,114.775
1002.0,71.277,114.785
1004.0,71.451,114.794
1006.0,71.611,114.798
1008.0,71.765,114.8
1010.0,71.925,114.798
1012.0,72.072,114.798
1014.0,72.246,114.803
1016.0,72.43,114.814
1018.0,72.604,114.831
1020.0,72.788,114.832
1022.0,72.974,114.833
1024.0,73.155,114.839
1026.0,73.337,114.849
1028.0,73.517,114.858
1030.0,73.7,114.867
1032.0,73.87,114.87
1034.0,74.041,114.872
1036.0,74.215,114.872
1038.0,74.394,114.868
1040.0,74.581,114.862
1042.0,74.762,114.854
1044.0,74.941,114.847
1046.0,75.117,114.84
1048.0,75.288,114.833
1050.0,75.472,114.828
1052.0,75.646,114.823
1054.0,75.792,114.818
1056.0,75.927,114.815
1058.0,76.088,114.811
1060.0,76.262,114.811
1062.0,76.44,114.813
1064.0,76.62,114.814
1066.0,76.792,114.816
1068.0,76.977,114.817
1070.0,77.149,114.817
1072.0,77.325,114.816
1074.0,77.508,114.813
1076.0,77.679,114.813
1078.0,77.869,114.812
1080.0,78.062,114.814
1082.0,78.227,114.816
1084.0,78.392,114.819
1086.0,78.568,114.821
1088.0,78.747,114.823
1090.0,78.922,114.824
1092.0,79.092,114.824
1094.0,79.276,114.82
1096.0,79.448,114.82
1098.0,79.626,114.822
1100.0,79.812,114.824
1102.0,79.996,114.826
1104.0,80.178,114.827
1106.0,80.358,114.829
1108.0,80.532,114.831
1110.0,80.705,114.832
1112.0,80.887,114.833
1114.0,81.07,114.835
1116.0,81.252,114.836
1118.0,81.427,114.836
1120.0,81.61,114.837
1122.0,81.801,114.835
1124.0,81.982,114.833
1126.0,82.159,114.833
1128.0,82.334,114.833
1130.0,82.51,114.832
1132.0,82.672,114.828
1134.0,82.824,114.823
1136.0,82.984,114.815
1138.0,83.15,114.809
1140.0,83.323,114.8
1142.0,83.521,114.798
1144.0,83.696,114.802
1146.0,83.858,114.802
1148.0,84.029,114.798
1150.0,84.218,114.793
1152.0,84.396,114.791
1154.0,84.562,114.791
1156.0,84.743,114.79
1158.0,84.914,114.79
1160.0,85.106,114.788
1162.0,85.288,114.779
1164.0,85.468,114.768
1166.0,85.644,114.76
1168.0,85.823,114.75
1170.0,85.995,114.721
1172.0,86.185,114.684
1174.0,86.364,114.69
1176.0,86.535,114.674
1178.0,86.717,114.667
1180.0,86.898,114.667
1182.0,87.077,114.663
1184.0,87.273,114.66
1186.0,87.463,114.654
1188.0,87.634,114.649
1190.0,87.811,114.644
1192.0,88.006,114.638
1194.0,88.196,114.636
1196.0,88.372,114.63
1198.0,88.544,114.628
1200.0,88.715,114.622
1202.0,88.89,114.613
1204.0,89.068,114.61
1206.0,89.252,114.607
1208.0,89.443,114.594
1210.0,89.621,114.58
1212.0,89.792,114.564
1214.0,89.963,114.524
1216.0,90.129,114.517
1218.0,90.293,114.505
1220.0,90.467,114.492
1222.0,90.653,114.474
1224.0,90.828,114.464
1226.0,90.995,114.458
1228.0,91.135,114.458
1230.0,91.265,114.461
1232.0,91.437,114.466
1234.0,91.623,114.474
1236.0,91.808,114.476
1238.0,91.975,114.48
1240.0,92.143,114.483
1242.0,92.336,114.486
1244.0,92.533,114.488
1246.0,92.703,114.491
1248.0,92.875,114.493
1250.0,93.05,114.495
1252.0,93.237,114.498
1254.0,93.394,114.5
1256.0,93.571,114.506
1258.0,93.77,114.509
1260.0,93.977,114.513
1262.0,94.161,114.514
1264.0,94.344,114.512
1266.0,94.524,114.508
1268.0,94.7,114.506
1270.0,94.87,114.503
1272.0,95.053,114.494
1274.0,95.248,114.486
1276.0,95.435,114.479
1278.0,95.618,114.469
1280.0,95.808,114.461
1282.0,95.994,114.454
1284.0,96.172,114.447
1286.0,96.347,114.441
1288.0,96.522,114.431
1290.0,96.696,114.426
1292.0,96.881,114.422
1294.0,97.072,114.415
1296.0,97.244,114.408
