MD,P,T
0.0,0.587,36.581
1.0,0.587,36.81
3.0,0.587,37.974
5.0,0.587,42.129
7.0,0.587,44.938
9.0,0.586,48.842
11.0,0.586,49.575
13.0,0.586,50.554
15.0,0.586,51.553
17.0,0.586,52.228
19.0,0.586,52.658
21.0,0.586,53.113
23.0,0.586,53.584
25.0,0.586,54.206
27.0,0.587,55.114
29.0,0.587,55.958
31.0,0.586,56.963
33.0,0.586,57.866
35.0,0.586,59.718
37.0,0.586,61.74
39.0,0.586,64.714
41.0,0.586,67.215
43.0,0.586,69.413
45.0,0.586,72.022
47.0,0.586,74.815
49.0,0.586,76.857
51.0,0.586,78.537
53.0,0.586,80.393
55.0,0.587,82.557
57.0,0.586,83.732
59.0,0.586,85.274
61.0,0.586,87.345
63.0,0.586,90.103
65.0,0.586,93.404
67.0,0.586,97.275
69.0,0.585,97.899
71.0,0.586,99.523
73.0,0.587,100.188
75.0,0.587,100.221
77.0,0.587,100.069
79.0,0.587,99.033
81.0,0.588,99.42
83.0,0.588,99.06
85.0,0.589,99.942
87.0,0.588,100.609
89.0,0.589,101.201
91.0,0.589,101.471
93.0,0.589,101.872
95.0,0.588,101.928
97.0,0.589,101.934
99.0,0.589,101.838
101.0,0.59,101.904
103.0,0.59,102.373
105.0,0.59,102.743
107.0,0.59,102.883
109.0,0.59,102.707
111.0,0.59,102.885
113.0,0.59,103.172
115.0,0.59,103.329
117.0,0.59,103.445
119.0,0.591,103.822
121.0,0.591,103.775
123.0,0.59,103.401
125.0,0.592,103.141
127.0,0.592,103.165
129.0,0.592,103.129
131.0,0.592,102.984
133.0,0.592,102.815
135.0,0.592,102.701
137.0,0.592,102.637
139.0,0.592,102.583
141.0,0.593,102.547
143.0,0.593,102.522
145.0,0.593,102.51
147.0,0.593,102.496
149.0,0.594,102.495
151.0,0.594,102.488
153.0,0.594,102.483
155.0,0.594,102.479
157.0,0.594,102.478
159.0,0.594,102.468
161.0,0.595,102.452
163.0,0.595,102.424
165.0,0.595,102.399
167.0,0.595,102.372
169.0,0.595,102.349
171.0,0.595,102.329
173.0,0.596,102.315
175.0,0.596,102.307
