type,date-time,steam,liquid,enthalpy,WHPabs
P,1997-01-13 00:00:00,9.00,37.40,1076.34,7.91
P,1997-01-27 00:00:00,11.10,42.30,1095.82,7.82
P,1997-02-03 00:00:00,9.90,42.70,1052.14,7.72
P,1997-02-10 00:00:00,10.90,42.80,1085.60,7.82
P,1997-02-17 00:00:00,11.00,43.10,1083.80,7.72
P,1997-02-24 00:00:00,11.50,44.30,1089.59,7.72
P,1997-03-03 00:00:00,10.80,42.30,1083.93,7.72
P,1997-03-10 00:00:00,10.10,42.30,1064.19,7.72
P,1997-03-17 00:00:00,10.00,42.30,1060.96,7.72
P,1997-03-24 00:00:00,10.10,42.30,1061.64,7.72
P,1997-03-31 00:00:00,11.00,42.30,1090.19,7.32
P,1997-04-07 00:00:00,10.40,44.80,1052.55,7.32
P,1997-04-14 00:00:00,11.70,44.60,1088.05,7.32
P,1997-04-21 00:00:00,10.80,44.70,1062.93,7.23
P,1997-04-28 00:00:00,11.10,47.20,1054.12,7.32
P,1997-05-05 00:00:00,10.10,47.20,1027.12,7.32
P,1997-05-12 00:00:00,10.10,47.20,1027.12,7.32
P,1997-05-19 00:00:00,10.80,47.20,1047.94,7.32
P,1997-05-26 00:00:00,10.60,47.20,1042.04,7.32
P,1997-06-02 00:00:00,11.50,47.20,1068.27,7.32
P,1997-06-09 00:00:00,11.60,47.20,1071.13,7.23
P,1997-06-16 00:00:00,10.90,47.20,1050.88,7.23
P,1997-06-23 00:00:00,10.90,47.20,1050.88,7.23
P,1997-07-14 00:00:00,11.40,47.30,1067.24,7.42
P,1997-07-21 00:00:00,11.30,47.20,1062.51,7.32
P,1997-07-28 00:00:00,10.90,47.80,1065.98,7.72
P,1997-08-04 00:00:00,9.80,47.90,1040.01,7.62
P,1997-08-11 00:00:00,10.30,48.00,1056.41,7.72
P,1997-08-18 00:00:00,11.40,47.30,1067.24,7.42
P,1997-08-25 00:00:00,10.50,47.30,1041.00,7.32
P,1997-09-01 00:00:00,10.50,47.30,1041.00,7.32
P,1997-10-06 00:00:00,11.40,47.20,1062.81,7.32
P,1997-10-13 00:00:00,11.10,47.30,1058.58,7.42
P,1997-10-20 00:00:00,11.30,45.10,1077.57,7.32
P,1997-10-27 00:00:00,10.80,45.40,1072.60,7.52
P,1997-11-03 00:00:00,10.60,45.50,1068.28,7.42
P,1997-11-10 00:00:00,10.70,45.40,1069.60,7.42
P,1997-11-17 00:00:00,11.20,45.40,1084.50,7.52
P,1997-11-24 00:00:00,11.00,45.40,1078.57,7.52
P,1997-12-01 00:00:00,10.90,45.30,1071.45,7.42
P,1997-12-08 00:00:00,11.30,45.40,1087.45,7.42
P,1997-12-15 00:00:00,11.50,45.50,1094.94,7.42
P,1997-12-22 00:00:00,11.00,45.70,1087.82,7.72
P,1998-07-20 00:00:00,11.30,44.70,1097.34,7.62
P,1998-07-27 00:00:00,11.30,44.70,1097.34,7.62
P,1998-08-31 00:00:00,12.90,45.00,1122.06,7.52
P,1998-09-07 00:00:00,13.30,45.00,1133.24,7.52
P,1998-09-14 00:00:00,13.10,45.00,1127.66,7.52
P,1998-09-21 00:00:00,13.10,45.00,1127.66,7.32
P,1998-09-28 00:00:00,13.40,45.10,1137.69,7.42
P,1998-10-05 00:00:00,13.20,45.30,1128.02,7.32
P,1998-10-12 00:00:00,12.90,45.20,1127.90,7.42
P,1998-10-19 00:00:00,13.20,45.40,1127.21,7.42
P,1998-10-26 00:00:00,13.60,44.70,1144.02,7.42
P,1998-11-02 00:00:00,13.10,44.70,1130.12,7.42
P,1998-11-09 00:00:00,11.90,44.00,1106.31,7.52
P,1998-11-16 00:00:00,12.30,44.20,1111.37,7.42
P,1998-11-23 00:00:00,11.50,44.70,1081.36,7.32
P,1999-01-04 00:00:00,6.80,44.60,945.29,7.72
P,1999-01-11 00:00:00,8.70,42.60,1025.55,7.62
P,1999-01-18 00:00:00,9.50,42.90,1049.95,7.62
P,1999-01-25 00:00:00,8.90,42.00,1036.52,7.62
P,1999-02-01 00:00:00,9.00,42.00,1039.89,7.62
P,1999-02-08 00:00:00,9.50,42.60,1052.12,7.62
P,1999-02-15 00:00:00,8.70,41.30,1034.74,7.62
P,1999-02-22 00:00:00,8.80,39.50,1054.22,7.62
P,1999-03-01 00:00:00,8.80,40.70,1047.41,7.72
P,1999-03-08 00:00:00,9.20,40.60,1059.52,7.72
P,1999-03-15 00:00:00,9.40,41.10,1064.80,7.72
P,1999-07-19 00:00:00,11.40,43.00,1094.30,8.01
P,1999-07-26 00:00:00,11.30,42.90,1089.46,7.52
P,1999-08-02 00:00:00,11.70,42.90,1101.63,7.52
