type,date-time,steam,liquid,enthalpy,WHPabs
P,1975-01-23 12:00:00,0.0,0.0,978.859985352,0.920427587434
P,1975-01-27 00:00:00,7.118060112,40.3356018066,978.859985352,5.8204276828
P,1975-02-24 00:00:00,7.88070011139,44.6572990417,978.859985352,5.8204276828
P,1975-02-27 12:00:00,7.88070011139,44.6572990417,978.859985352,5.8204276828
P,1975-02-27 12:00:01,0.0,0.0,978.859985352,0.920427587434
P,1975-07-24 11:59:59,0.0,0.0,978.859985352,0.920427587434
P,1975-07-24 12:00:00,8.37254047394,47.4444007874,978.859985352,5.8204276828
P,1975-07-28 00:00:00,8.37254047394,47.4444007874,978.859985352,5.8204276828
P,1975-08-25 00:00:00,8.83736991882,50.0783996582,978.859985352,5.8204276828
P,1975-08-28 12:00:00,8.83736991882,50.0783996582,978.859985352,5.8204276828
P,1975-08-28 12:00:01,0.0,0.0,978.859985352,0.920427587434
P,1975-09-25 11:59:59,0.0,0.0,978.859985352,0.920427587434
P,1975-09-25 12:00:00,14.4212999344,81.720703125,978.859985352,5.8204276828
P,1975-09-29 00:00:00,14.4212999344,81.720703125,978.859985352,5.8204276828
P,1975-10-27 00:00:00,14.4209003448,81.7185974121,978.859985352,5.8204276828
P,1975-11-24 00:00:00,13.9409999847,78.9988021851,978.859985352,5.8204276828
P,1975-11-27 12:00:00,13.9409999847,78.9988021851,978.859985352,5.8204276828
P,1975-11-27 12:00:01,0.0,0.0,978.859985352,0.920427587434
P,1976-02-19 11:59:59,0.0,0.0,978.859985352,0.920427587434
P,1976-02-19 12:00:00,3.48210000992,19.7318992615,978.859985352,5.8204276828
P,1976-02-23 00:00:00,3.48210000992,19.7318992615,978.859985352,5.8204276828
P,1976-02-26 12:00:00,3.48210000992,19.7318992615,978.859985352,5.8204276828
P,1976-02-26 12:00:01,0.0,0.0,978.859985352,0.920427587434
P,1976-04-22 11:59:59,0.0,0.0,978.859985352,0.920427587434
P,1976-04-22 12:00:00,9.6172504425,54.4976997375,978.859985352,5.8204276828
P,1976-04-26 00:00:00,9.6172504425,54.4976997375,978.859985352,5.8204276828
P,1976-04-29 12:00:00,9.6172504425,54.4976997375,978.859985352,5.8204276828
P,1976-04-29 12:00:01,0.0,0.0,978.859985352,0.920427587434
P,1976-05-27 11:59:59,0.0,0.0,978.859985352,0.920427587434
P,1976-05-27 12:00:00,14.4258003235,81.7462005615,978.859985352,5.8204276828
P,1976-05-31 00:00:00,14.4258003235,81.7462005615,978.859985352,5.8204276828
P,1976-06-28 00:00:00,14.4258003235,81.7462997437,978.859985352,5.8204276828
P,1976-07-26 00:00:00,13.0297002792,73.8351974487,978.859985352,5.8204276828
P,1976-07-29 12:00:00,13.0297002792,73.8351974487,978.859985352,5.8204276828
P,1976-07-29 12:00:01,0.0,0.0,978.859985352,0.920427587434
P,1976-08-26 11:59:59,0.0,0.0,978.859985352,0.920427587434
P,1976-08-26 12:00:00,14.4259004593,81.7464981079,978.859985352,5.8204276828
P,1976-08-30 00:00:00,14.4259004593,81.7464981079,978.859985352,5.8204276828
P,1976-09-27 00:00:00,14.4258003235,81.7462997437,978.859985352,5.8204276828
P,1976-10-25 00:00:00,13.9604997635,79.1092987061,978.859985352,5.8204276828
P,1976-10-28 12:00:00,13.9604997635,79.1092987061,978.859985352,5.8204276828
P,1976-10-28 12:00:01,0.0,0.0,978.859985352,0.920427587434
P,1976-11-25 11:59:59,0.0,0.0,978.859985352,0.920427587434
P,1976-11-25 12:00:00,12.507900238,70.8778991699,978.859985352,5.8204276828
P,1976-11-29 00:00:00,12.507900238,70.8778991699,978.859985352,5.8204276828
P,1976-12-27 00:00:00,14.3915996552,81.5525970459,978.859985352,5.8204276828
P,1976-12-30 12:00:00,14.3915996552,81.5525970459,978.859985352,5.8204276828
P,1976-12-30 12:00:01,0.0,0.0,978.859985352,0.920427587434
P,1977-01-27 11:59:59,0.0,0.0,978.859985352,0.920427587434
P,1977-01-27 12:00:00,14.2378997803,80.6813964844,978.859985352,5.8204276828
P,1977-01-31 00:00:00,14.2378997803,80.6813964844,978.859985352,5.8204276828
P,1977-02-28 00:00:00,14.1871004105,80.3934020996,978.859985352,5.8204276828
P,1977-03-28 00:00:00,14.7124996185,83.3706970215,978.859985352,5.8204276828
P,1977-04-25 00:00:00,14.7124996185,83.3707962036,978.859985352,5.8204276828
P,1977-04-28 12:00:00,14.7124996185,83.3707962036,978.859985352,5.8204276828
P,1977-04-28 12:00:01,0.0,0.0,978.859985352,0.920427587434
P,1977-05-26 11:59:59,0.0,0.0,980.590026855,0.920427587434
P,1977-05-26 12:00:00,13.3299999237,75.0500030518,980.590026855,5.8204276828
P,1977-05-30 00:00:00,13.3299999237,75.0500030518,980.590026855,5.8204276828
P,1977-06-27 00:00:00,13.8000001907,75.0500030518,989.969970703,5.8204276828
P,1977-07-25 00:00:00,12.3900003433,69.8499984741,980.229980469,5.8204276828
P,1977-07-28 12:00:00,12.3900003433,69.8499984741,980.229980469,5.8204276828
P,1977-07-28 12:00:01,0.0,0.0,980.229980469,0.920427587434
P,1977-08-25 11:59:59,0.0,0.0,503.784567107,0.920427587434
P,1977-08-25 12:00:00,17.7800006866,78.2900009155,503.784567107,0.920427587434
P,1977-08-29 00:00:00,17.7800006866,78.2900009155,503.784567107,0.920427587434
P,1977-09-26 00:00:00,14.1400003433,69.5899963379,1018.28997803,5.8204276828
P,1977-09-29 12:00:00,14.1400003433,69.5899963379,1018.28997803,5.8204276828
P,1977-09-29 12:00:01,0.0,0.0,1018.28997803,0.920427587434
P,1977-10-27 11:59:59,0.0,0.0,987.369995117,0.920427587434
P,1977-10-27 12:00:00,13.8900003433,76.1900024414,987.369995117,5.81042745392
P,1977-10-31 00:00:00,13.8900003433,76.1900024414,987.369995117,5.81042745392
P,1977-11-28 00:00:00,14.3999996185,76.1900024414,997.570007324,5.8204276828
P,1977-12-26 00:00:00,14.1999998093,76.4000015259,992.91998291,5.8204276828
P,1977-12-29 12:00:00,14.1999998093,76.4000015259,992.91998291,5.8204276828
P,1977-12-29 12:00:01,0.0,0.0,992.91998291,0.920427587434
P,1978-01-26 11:59:59,0.0,0.0,1000.45001221,0.920427587434
P,1978-01-26 12:00:00,14.3900003433,75.3600006104,1000.45001221,5.8204276828
P,1978-01-30 00:00:00,14.3900003433,75.3600006104,1000.45001221,5.8204276828
