type,date-time,steam,liquid,enthalpy,WHPabs
P,2007-07-12 12:00:00,0.0,0.0,1086.70996094,0.899920148013
P,2007-07-16 00:00:00,22.3999996185,99.8000030518,1086.70996094,10.0999199573
P,2007-07-30 00:00:00,20.3200000763,86.0,1069.64199219,9.89992014801
P,2007-08-06 00:00:00,11.6142856053,49.1428571429,1069.72250366,6.07134882843
P,2007-08-09 12:00:00,11.6142856053,49.1428571429,1069.72250366,6.07134882843
P,2007-08-09 12:00:01,0.0,0.0,1069.72250366,0.899920148013
P,2007-10-11 11:59:59,0.0,0.0,1044.61999512,0.899920148013
P,2007-10-11 12:00:00,2.6999999455,12.5714285714,1044.61999512,2.12849163108
P,2007-10-15 00:00:00,2.6999999455,12.5714285714,1044.61999512,2.12849163108
P,2007-10-22 00:00:00,19.0999994278,105.699996948,995.200012207,9.49992052948
P,2007-10-29 00:00:00,17.7000007629,105.699996948,1008.96002197,9.99992052948
P,2007-11-05 00:00:00,17.7571427482,102.328571865,1018.0942906,9.97134899192
P,2007-11-12 00:00:00,17.8285707746,101.61428615,1021.79429408,9.9856347607
P,2007-11-19 00:00:00,18.1000003815,101.5,1025.16860526,9.99992052948
P,2007-11-26 00:00:00,18.1000003815,101.5,1025.17004395,9.99992052948
P,2007-12-03 00:00:00,18.1857149942,101.5,1028.46289062,9.99992052948
P,2007-12-10 00:00:00,17.9857145037,101.5,1023.74000767,9.99992052948
P,2007-12-17 00:00:00,18.433333079,101.5,1030.01000977,9.99992052948
P,2007-12-24 00:00:00,18.3999996185,101.5,1029.5300293,9.99992052948
P,2007-12-31 00:00:00,17.899999891,101.38571385,1023.94998605,10.014206162
P,2008-01-07 00:00:00,18.5428573063,101.5,1025.8314209,9.99992052948
P,2008-01-14 00:00:00,18.4142856598,102.642856053,1014.3485805,9.92849168558
P,2008-01-21 00:00:00,18.3571423122,101.5,1016.18427386,9.99992052948
P,2008-01-28 00:00:00,18.1199998856,101.419999695,1016.83599243,10.0099204723
P,2008-02-04 00:00:00,18.2999997139,101.5,1013.41999817,9.99992052948
P,2008-02-11 00:00:00,18.2285706656,102.414284842,1010.6757115,9.94277745436
P,2008-02-18 00:00:00,18.6428576878,102.299998692,1018.5471453,9.9570630869
P,2008-02-25 00:00:00,18.4142859323,100.699996948,1019.13427734,10.0999199573
P,2008-03-03 00:00:00,18.4571426937,100.699996948,1017.5742885,10.0999199573
P,2008-03-10 00:00:00,18.3857138497,100.928569249,1022.06571742,10.0713486922
P,2008-03-17 00:00:00,18.2428572518,101.042855399,1022.47712926,10.0570630597
P,2008-03-24 00:00:00,19.8857146672,101.628572736,1041.66143799,9.99992052948
P,2008-03-31 00:00:00,21.9285711561,101.071428571,1069.21711077,10.0856343247
P,2008-04-07 00:00:00,21.7666670481,100.433331807,1068.38330078,10.0999199573
P,2008-04-14 00:00:00,21.7000007629,100.199996948,1069.57995605,10.0999199573
P,2008-04-21 00:00:00,22.0,101.299999237,1068.29998779,10.0499202434
P,2008-04-28 00:00:00,22.1000003815,101.699996948,1068.47998047,9.99992052948
P,2008-05-05 00:00:00,22.066666921,101.699996948,1068.02331543,9.99992052948
P,2008-05-12 00:00:00,21.8428576333,101.057139805,1069.28424944,10.0570630597
P,2008-05-19 00:00:00,21.7000007629,100.199996948,1071.33827718,10.0999199573
P,2008-05-26 00:00:00,22.02857181,99.1714281355,1079.32282366,10.1999200663
P,2008-06-02 00:00:00,22.3714286259,99.5714307513,1081.69710868,10.1284913586
P,2008-06-09 00:00:00,22.2714285169,98.6571415492,1083.47283064,10.2427771001
P,2008-06-16 00:00:00,22.2285717555,99.457144601,1081.86997768,10.1427772636
P,2008-06-23 00:00:00,22.4857142312,100.057144165,1085.04002162,10.0999199573
P,2008-06-30 00:00:00,22.2599998474,99.8000030518,1081.05800781,10.0999199573
P,2008-07-07 00:00:00,21.8285718645,99.457144601,1076.5742885,10.1427772636
