type,date-time,steam,liquid,enthalpy,WHPabs
P,1997-08-07 11:59:59,0.0,0.0,1479.51000977,0.919399974156
P,1997-08-07 12:00:00,43.9000015259,71.8000030518,1479.51000977,11.741399524
P,1997-08-11 00:00:00,43.9000015259,71.8000030518,1479.51000977,11.741399524
P,1997-08-18 00:00:00,47.2999992371,74.0999984741,1505.81005859,11.741399524
P,1997-08-25 00:00:00,40.2999992371,26.6000003815,1931.77001953,14.9714000199
P,1997-09-01 00:00:00,39.2000007629,28.2000007629,1890.08996582,14.9714000199
P,1997-09-08 00:00:00,43.2999992371,56.7999992371,1586.04003906,12.9113996003
P,1997-09-15 00:00:00,46.0,51.7000007629,1665.22998047,12.9113996003
P,1997-09-22 00:00:00,41.7000007629,51.5,1613.33996582,13.4113996003
P,1997-09-29 00:00:00,40.5,51.5999984741,1599.15002441,13.3114001725
P,1997-10-06 00:00:00,40.4000015259,49.5,1619.14001465,13.3114001725
P,1997-10-13 00:00:00,38.7000007629,49.2999992371,1593.89001465,13.1114003633
P,1997-10-16 12:00:00,38.7000007629,49.2999992371,1593.89001465,13.1114003633
P,1997-10-16 12:00:01,0.0,0.0,1593.89001465,0.919399974156
P,1997-10-23 11:59:59,0.0,0.0,1568.64001465,0.919399974156
P,1997-10-23 12:00:00,38.4000015259,51.4000015259,1568.64001465,13.0113999818
P,1997-10-27 00:00:00,38.4000015259,51.4000015259,1568.64001465,13.0113999818
P,1997-11-03 00:00:00,38.0,51.2999992371,1562.64001465,12.8214004014
P,1997-11-10 00:00:00,36.7000007629,59.7000007629,1471.17004395,12.7214000199
P,1997-11-17 00:00:00,36.2999992371,54.5,1510.80004883,12.6213996385
P,1997-11-24 00:00:00,35.5999984741,46.4000015259,1582.19995117,12.5214002107
P,1997-11-27 12:00:00,35.5999984741,46.4000015259,1582.19995117,12.5214002107
P,1997-11-27 12:00:01,0.0,0.0,1582.19995117,0.919399974156
P,1997-12-11 11:59:59,0.0,0.0,1547.10998535,0.919399974156
P,1997-12-11 12:00:00,35.2999992371,49.2999992371,1547.10998535,12.5214002107
P,1997-12-15 00:00:00,35.2999992371,49.2999992371,1547.10998535,12.5214002107
P,1997-12-22 00:00:00,35.5999984741,44.5,1603.59997559,12.4213998292
P,1997-12-29 00:00:00,17.7000007629,23.1499996185,1578.7800293,6.67039990168
P,1998-01-05 00:00:00,35.4000015259,51.2999992371,1526.81005859,12.4213998292
P,1998-01-08 12:00:00,35.4000015259,51.2999992371,1526.81005859,12.4213998292
P,1998-01-08 12:00:01,0.0,0.0,1526.81005859,0.919399974156
P,1998-01-15 11:59:59,0.0,0.0,1516.80004883,0.919399974156
P,1998-01-15 12:00:00,34.7000007629,51.2999992371,1516.80004883,12.2314002488
P,1998-01-19 00:00:00,34.7000007629,51.2999992371,1516.80004883,12.2314002488
P,1998-01-26 00:00:00,34.2000007629,51.2999992371,1509.54003906,12.2314002488
P,1998-02-02 00:00:00,35.0,51.4000015259,1521.83996582,12.3313996766
P,1998-02-09 00:00:00,33.9000015259,51.2999992371,1505.15002441,12.3313996766
P,1998-02-16 00:00:00,33.4000015259,51.2999992371,1495.81994629,12.2314002488
P,1998-02-23 00:00:00,33.9000015259,51.2999992371,1503.2199707,12.2314002488
P,1998-03-02 00:00:00,33.0,51.2999992371,1489.83996582,12.2314002488
P,1998-03-09 00:00:00,32.5,51.2000007629,1481.26000977,12.1313998673
P,1998-03-16 00:00:00,32.7000007629,54.2000007629,1456.27001953,11.9314000581
P,1998-03-23 00:00:00,32.2000007629,54.2000007629,1448.75,12.0314004395
P,1998-03-30 00:00:00,32.2999992371,54.2000007629,1450.26000977,11.9314000581
P,1998-04-06 00:00:00,32.7000007629,54.2999992371,1457.36999512,12.0314004395
P,1998-04-13 00:00:00,32.5999984741,49.0999984741,1503.61999512,12.0314004395
P,1998-04-20 00:00:00,32.2000007629,49.0999984741,1497.45996094,12.0314004395
P,1998-04-27 00:00:00,31.7999992371,54.2999992371,1443.79003906,12.0314004395
P,1998-05-04 00:00:00,31.7000007629,51.2999992371,1470.0,12.0314004395
P,1998-05-11 00:00:00,31.2000007629,51.2999992371,1462.19995117,11.8413999055
P,1998-05-18 00:00:00,31.2999992371,51.2999992371,1463.76000977,11.741399524
P,1998-05-25 00:00:00,31.2000007629,51.2999992371,1462.19995117,11.741399524
P,1998-06-01 00:00:00,31.5,54.5,1437.42004395,11.6414000962
