type,date-time,steam,liquid,enthalpy,WHPabs
R,2000-03-13 00:00:00,0.00,57.72,200.53,1.11
R,2000-03-20 00:00:00,0.00,57.72,209.85,1.24
R,2000-03-27 00:00:00,0.00,57.72,212.16,1.28
R,2000-04-03 00:00:00,0.00,115.35,213.97,1.30
R,2000-04-10 00:00:00,0.00,115.35,217.07,1.35
R,2000-04-17 00:00:00,0.00,115.35,209.38,1.24
R,2000-04-24 00:00:00,0.00,115.35,213.97,1.30
R,2000-05-01 00:00:00,0.00,100.50,220.49,1.41
R,2000-05-08 00:00:00,0.00,100.50,217.93,1.37
R,2000-05-15 00:00:00,0.00,100.50,219.64,1.39
R,2000-05-22 00:00:00,0.00,100.50,212.62,1.28
R,2000-05-29 00:00:00,0.00,104.00,215.31,1.33
R,2000-06-05 00:00:00,0.00,104.00,217.93,1.37
R,2000-06-12 00:00:00,0.00,104.00,222.16,1.44
R,2000-06-19 00:00:00,0.00,104.00,218.79,1.38
R,2000-06-26 00:00:00,0.00,104.00,223.80,1.46
R,2000-07-03 00:00:00,0.00,104.35,224.61,1.48
R,2000-07-10 00:00:00,0.00,104.35,225.01,1.48
R,2000-07-17 00:00:00,0.00,104.35,224.61,1.48
R,2000-07-24 00:00:00,0.00,104.35,224.61,1.48
R,2000-07-31 00:00:00,0.00,96.06,218.79,1.38
R,2000-08-07 00:00:00,0.00,93.93,210.78,1.26
R,2000-08-14 00:00:00,0.00,93.93,210.78,1.26
R,2000-08-21 00:00:00,0.00,93.93,220.91,1.42
R,2000-08-28 00:00:00,0.00,93.93,230.11,1.57
R,2000-09-04 00:00:00,0.00,89.63,235.69,1.68
R,2000-09-11 00:00:00,0.00,89.63,238.55,1.73
R,2000-09-18 00:00:00,0.00,89.63,239.60,1.75
R,2000-09-25 00:00:00,0.00,89.63,225.81,1.50
R,2000-10-02 00:00:00,0.00,89.63,233.86,1.64
R,2000-10-09 00:00:00,0.00,89.63,247.97,1.93
R,2000-10-30 00:00:00,0.00,102.59,221.74,1.43
R,2000-11-06 00:00:00,0.00,102.59,224.61,1.48
R,2000-11-13 00:00:00,0.00,102.59,224.51,1.48
R,2000-11-20 00:00:00,0.00,102.59,219.64,1.39
R,2000-11-27 00:00:00,0.00,102.59,219.64,1.39
R,2000-12-04 00:00:00,0.00,100.10,216.63,1.35
R,2000-12-11 00:00:00,0.00,100.10,217.07,1.35
R,2000-12-18 00:00:00,0.00,100.10,221.33,1.42
R,2000-12-25 00:00:00,0.00,100.10,220.49,1.41
R,2001-01-01 00:00:00,0.00,100.10,220.49,1.41
R,2001-01-08 00:00:00,0.00,100.10,220.49,1.41
R,2001-01-15 00:00:00,0.00,100.10,220.49,1.41
R,2001-01-22 00:00:00,0.00,85.46,217.46,1.36
R,2001-01-29 00:00:00,0.00,85.46,217.46,1.36
R,2001-02-05 00:00:00,0.00,85.46,217.46,1.36
R,2001-02-12 00:00:00,0.00,85.46,217.46,1.36
R,2001-02-19 00:00:00,0.00,85.46,218.36,1.37
R,2001-02-26 00:00:00,0.00,85.46,214.56,1.31
R,2001-03-05 00:00:00,0.00,96.80,214.29,1.31
R,2001-03-12 00:00:00,0.00,96.80,218.06,1.37
R,2001-03-19 00:00:00,0.00,96.80,220.49,1.41
R,2001-03-26 00:00:00,0.00,96.80,219.13,1.39
R,2001-04-02 00:00:00,0.00,82.48,219.13,1.39
R,2001-04-09 00:00:00,0.00,82.48,219.13,1.39
R,2001-04-16 00:00:00,0.00,82.48,219.13,1.39
R,2001-04-23 00:00:00,0.00,82.48,217.63,1.36
R,2001-04-30 00:00:00,0.00,103.61,217.63,1.36
R,2001-05-07 00:00:00,0.00,103.61,217.63,1.36
R,2001-05-14 00:00:00,0.00,103.61,222.57,1.44
R,2001-05-21 00:00:00,0.00,103.61,225.17,1.49
R,2001-05-28 00:00:00,0.00,103.61,228.57,1.55
R,2001-06-04 00:00:00,0.00,98.21,228.02,1.54
R,2001-06-11 00:00:00,0.00,98.21,228.84,1.55
R,2001-06-18 00:00:00,0.00,98.21,229.22,1.56
R,2001-06-25 00:00:00,0.00,98.21,229.72,1.57
R,2001-07-02 00:00:00,0.00,96.92,229.69,1.57
R,2001-07-09 00:00:00,0.00,96.92,228.95,1.55
R,2001-07-16 00:00:00,0.00,96.92,227.79,1.53
R,2001-07-23 00:00:00,0.00,96.92,227.12,1.52
R,2001-07-30 00:00:00,0.00,107.17,229.84,1.57
R,2001-08-06 00:00:00,0.00,107.17,227.16,1.52
R,2001-08-13 00:00:00,0.00,107.17,232.38,1.62
R,2001-08-20 00:00:00,0.00,107.17,232.38,1.62
R,2001-08-27 00:00:00,0.00,107.17,232.38,1.62
R,2001-09-03 00:00:00,0.00,97.35,231.02,1.59
R,2001-09-10 00:00:00,0.00,97.35,229.53,1.56
R,2001-09-17 00:00:00,0.00,97.35,229.53,1.56
R,2001-09-24 00:00:00,0.00,97.35,231.44,1.60
R,2001-10-01 00:00:00,0.00,106.49,231.44,1.60
R,2001-10-08 00:00:00,0.00,106.49,230.49,1.58
R,2001-10-15 00:00:00,0.00,106.49,232.38,1.62
R,2001-10-22 00:00:00,0.00,106.49,230.49,1.58
R,2001-10-29 00:00:00,0.00,109.71,232.38,1.62
R,2001-11-05 00:00:00,0.00,109.71,231.85,1.61
R,2001-11-12 00:00:00,0.00,109.71,232.86,1.62
R,2001-11-19 00:00:00,0.00,109.71,232.38,1.62
R,2001-11-26 00:00:00,0.00,109.71,232.38,1.62
R,2001-12-03 00:00:00,0.00,90.37,231.13,1.59
R,2001-12-10 00:00:00,0.00,90.37,232.38,1.62
R,2001-12-17 00:00:00,0.00,90.37,231.59,1.60
R,2001-12-24 00:00:00,0.00,90.37,230.87,1.59
R,2002-04-08 00:00:00,0.00,112.67,358.49,5.93
R,2002-04-15 00:00:00,0.00,112.67,358.49,5.93
R,2002-04-29 00:00:00,0.00,101.45,264.36,2.30
R,2002-05-06 00:00:00,0.00,101.45,264.36,2.30
R,2002-05-13 00:00:00,0.00,101.45,243.03,1.82
R,2002-05-20 00:00:00,0.00,101.45,251.15,1.99
R,2002-05-27 00:00:00,0.00,101.45,251.15,1.99
