type,date-time,steam,liquid,enthalpy,WHPabs
R,2008-02-11 00:00:00,0.0,155.599999564,247.393772386,1.91305368806
R,2008-02-18 00:00:00,0.0,156.757143293,247.393772386,1.91305368806
R,2008-02-25 00:00:00,0.0,159.185716902,246.04357945,1.88448225268
R,2008-03-03 00:00:00,0.0,165.485715594,234.565813804,1.65591082283
R,2008-03-10 00:00:00,0.0,166.585712978,244.675871674,1.85591081729
R,2008-03-17 00:00:00,0.0,173.199999128,243.290141814,1.82733938191
R,2008-03-24 00:00:00,0.0,176.728572301,246.72083443,1.89876797037
R,2008-03-31 00:00:00,0.0,179.400000436,245.361946097,1.87019653499
R,2008-04-07 00:00:00,0.0,178.533335368,246.495565442,1.89400606447
R,2008-04-14 00:00:00,0.0,183.333328247,248.06245335,1.92733940575
R,2008-04-21 00:00:00,0.0,182.625,248.06245335,1.92733940575
R,2008-04-28 00:00:00,0.0,182.285709926,248.06245335,1.92733940575
R,2008-05-05 00:00:00,0.0,199.233332316,248.06245335,1.92733940575
R,2008-05-12 00:00:00,0.0,211.071428571,248.06245335,1.92733940575
R,2008-05-19 00:00:00,0.0,211.850001017,251.128371293,1.99400608831
R,2008-05-26 00:00:00,0.0,210.514286586,251.988347319,2.01305369487
R,2008-06-02 00:00:00,0.0,212.471429007,253.265448977,2.04162514729
R,2008-06-09 00:00:00,0.0,210.27142552,257.007797102,2.12733945344
R,2008-06-16 00:00:00,0.0,212.085712978,257.007797102,2.12733945344
R,2008-06-23 00:00:00,0.0,211.285712106,257.007797102,2.12733945344
R,2008-06-30 00:00:00,0.0,205.120001221,253.519046868,2.04733943436
R,2008-07-07 00:00:00,0.0,153.185710362,206.824567217,1.19876798229
R,2008-07-14 00:00:00,0.0,139.842858451,191.711525591,0.998767978245
R,2008-07-21 00:00:00,0.0,225.457146781,238.290287438,1.72733941767
R,2008-07-28 00:00:00,0.0,194.585712978,238.290287438,1.72733941767
R,2008-08-04 00:00:00,0.0,149.400000436,230.701844452,1.5844822663
R,2008-08-11 00:00:00,0.0,185.885718209,233.037603602,1.62733939383
R,2008-08-18 00:00:00,0.0,205.071428571,236.816530728,1.69876798229
R,2008-08-25 00:00:00,0.0,212.728567941,239.743432867,1.75591083603
R,2008-09-01 00:00:00,0.0,231.742856707,243.290141814,1.82733938191
R,2008-09-08 00:00:00,0.0,233.61428615,246.04357945,1.88448225268
R,2008-09-15 00:00:00,0.0,233.399996076,243.985292088,1.8416250996
R,2008-09-22 00:00:00,0.0,226.442858015,239.019396854,1.74162512685
R,2008-09-29 00:00:00,0.0,235.599999564,238.290287438,1.72733941767
R,2008-10-06 00:00:00,0.0,233.185714722,241.885861355,1.79876798059
R,2008-10-13 00:00:00,0.0,259.471429007,304.215997042,3.49876792609
R,2008-10-20 00:00:00,0.0,337.585715158,346.858908626,5.3130535961
R,2008-10-27 00:00:00,0.0,332.714285714,351.049801953,5.52733931039
R,2008-11-03 00:00:00,0.0,324.642857143,361.599594527,6.09876801805
R,2008-11-10 00:00:00,0.0,320.199999128,368.506273642,6.49876790906
R,2008-11-17 00:00:00,0.0,330.328574044,367.541561545,6.44162510641
R,2008-11-24 00:00:00,0.0,330.928575788,365.590671098,6.32733950112
R,2008-12-01 00:00:00,0.0,329.171430315,364.108242837,6.24162509279
R,2008-12-08 00:00:00,0.0,329.185712542,363.360693136,6.19876805892
R,2008-12-15 00:00:00,0.0,323.771427699,369.940256856,6.58448245363
R,2008-12-22 00:00:00,0.0,319.557141985,376.434616125,6.9844822084
R,2008-12-29 00:00:00,0.0,320.457144601,377.112051418,7.02733931039
R,2009-01-05 00:00:00,0.0,321.928571429,378.233558154,7.09876781369
R,2009-01-12 00:00:00,0.0,335.014286586,375.29788067,6.91305370509
R,2009-01-19 00:00:00,0.0,333.485709054,373.920904126,6.82733950112
R,2009-01-26 00:00:00,0.0,323.957135882,368.746354539,6.51305367784
R,2009-02-02 00:00:00,0.0,321.300000872,373.920900826,6.82733929676
R,2009-02-09 00:00:00,0.0,329.22857666,369.463987538,6.55591084795
R,2009-02-16 00:00:00,0.0,332.900002616,372.529548665,6.74162516091
R,2009-02-23 00:00:00,0.0,337.042851039,394.029075914,8.17019679384
R,2009-03-02 00:00:00,0.0,350.900002616,398.722395853,8.51305374596
R,2009-03-09 00:00:00,0.0,340.88571167,359.299779314,5.97019643962
R,2009-03-16 00:00:00,0.0,333.871425084,363.859534564,6.22733946025
