type,date-time,steam,liquid,enthalpy,WHPabs
R,2017-02-02 12:00:00,0.0,0.0,0.0,0.927339405753
R,2017-02-06 00:00:00,0.0,263.929992676,0.0,6.85733923409
R,2018-01-22 00:00:00,0.0,264.459991455,367.638351044,6.44733938668
R,2018-01-25 12:00:00,0.0,264.459991455,367.638351044,6.44733938668
R,2018-01-25 12:00:01,0.0,0.0,367.638351044,0.927339405753
R,2018-11-22 11:59:59,0.0,0.0,0.0,0.927339405753
R,2018-11-22 12:00:00,0.0,231.092001343,0.0,3.82733950112
R,2018-11-26 00:00:00,0.0,231.092001343,313.134584171,3.82733950112
R,2018-12-03 00:00:00,0.0,281.567140852,374.886276408,6.88733937578
R,2018-12-10 00:00:00,0.0,261.138569423,330.306544632,4.53305365877
R,2018-12-17 00:00:00,0.0,229.997144427,257.862565168,2.14733938327
R,2018-12-24 00:00:00,0.0,228.654285976,268.401830425,2.40733939077
R,2018-12-31 00:00:00,0.0,241.582857404,306.765957298,3.59019652954
R,2019-01-07 00:00:00,0.0,253.462855748,346.003904209,5.27019656223
R,2019-01-14 00:00:00,0.0,262.958570208,360.888439201,6.05876778372
R,2019-01-21 00:00:00,0.0,263.61428397,366.959324987,6.40733935671
R,2019-01-28 00:00:00,0.0,263.937142508,371.499886941,6.67876794176
R,2019-02-04 00:00:00,0.0,263.917144775,374.08228194,6.83733925316
R,2019-02-11 00:00:00,0.0,252.461427961,374.404460377,6.85733923409
R,2019-02-18 00:00:00,0.0,263.258575439,376.321379,6.97733952837
R,2019-02-25 00:00:00,0.0,254.757141113,376.638210507,6.99733957741
R,2019-03-04 00:00:00,0.0,255.134281703,376.638210507,6.99733957741
R,2019-03-11 00:00:00,0.0,256.02571106,379.699757844,7.19305377866
R,2019-03-18 00:00:00,0.0,249.530003139,377.741249788,7.06733927224
R,2019-03-25 00:00:00,0.0,253.894287109,374.725865742,6.87733941938
R,2019-04-01 00:00:00,0.0,253.705714634,378.479041885,7.11448239096
R,2019-04-08 00:00:00,0.0,254.49571446,381.215717689,7.29162521541
R,2019-04-15 00:00:00,0.0,255.155713763,382.368697099,7.36733946297
R,2019-04-22 00:00:00,0.0,253.971426828,383.554887812,7.44591098691
R,2019-04-29 00:00:00,0.0,258.284286499,384.325719225,7.49733957741
R,2019-05-06 00:00:00,0.0,254.181427002,386.107493123,7.61733946297
R,2019-05-13 00:00:00,0.0,256.962855748,383.124746665,7.41733951747
R,2019-05-20 00:00:00,0.0,250.710000174,384.176176579,7.48733948477
R,2019-05-27 00:00:00,0.0,252.667138236,387.428685884,7.70733934308
R,2019-06-03 00:00:00,0.0,252.002857753,388.157192794,7.75733932946
R,2019-06-10 00:00:00,0.0,250.197141375,388.737216887,7.79733942755
R,2019-06-17 00:00:00,0.0,250.094286237,388.157192794,7.75733932946
R,2019-06-24 00:00:00,0.0,245.904283796,387.094358368,7.68448242638
R,2019-07-01 00:00:00,0.0,248.287144252,379.986680284,7.21162522358
R,2019-07-08 00:00:00,0.0,248.197143555,383.876599083,7.46733950384
R,2019-07-15 00:00:00,0.0,243.408573696,380.843800302,7.26733955834
R,2019-07-22 00:00:00,0.0,242.597141811,383.468966883,7.44019657041
R,2019-07-29 00:00:00,0.0,244.130002703,385.579635266,7.5816249729
R,2019-08-05 00:00:00,0.0,226.039997646,381.630182343,7.31876808072
R,2019-08-12 00:00:00,0.0,247.837142944,385.516159489,7.57733956924
R,2019-08-19 00:00:00,0.0,248.565713065,384.218921464,7.49019676114
R,2019-08-26 00:00:00,0.0,244.785716466,372.156049932,6.71876803985
R,2019-09-02 00:00:00,0.0,249.285714286,379.589239742,7.18591089427
R,2019-09-09 00:00:00,0.0,246.680001395,387.741381289,7.72876806437
R,2019-09-16 00:00:00,0.0,246.644287109,382.06509221,7.34733955017
R,2019-09-23 00:00:00,0.0,247.599999564,380.843800302,7.26733955834
R,2019-09-30 00:00:00,0.0,248.907143729,385.367923957,7.56733961284
R,2019-10-07 00:00:00,0.0,250.180289132,387.134103152,7.68719671973
R,2019-10-14 00:00:00,0.0,250.534284319,388.737216887,7.79733942755
R,2019-10-21 00:00:00,0.0,248.992856707,388.881840421,7.80733952019
R,2019-10-28 00:00:00,0.0,248.054284232,389.170626909,7.82733950112
R,2019-11-04 00:00:00,0.0,244.23714556,386.149633193,7.62019660311
R,2019-11-11 00:00:00,0.0,222.681427002,313.916495932,3.85733940439
R,2019-11-18 00:00:00,0.0,226.925711496,314.951159358,3.89733943436
R,2019-11-25 00:00:00,0.0,216.732855661,314.951159358,3.89733943436
R,2019-12-02 00:00:00,0.0,227.346661886,330.668087311,4.54900615507
R,2019-12-09 00:00:00,0.0,255.514280047,380.602596448,7.25162504919
R,2019-12-16 00:00:00,0.0,251.62714495,385.070961212,7.54733929131
R,2019-12-23 00:00:00,0.0,255.708570208,383.726558309,7.45733927496
R,2019-12-30 00:00:00,0.0,256.221426828,349.731427874,6.80162496745
R,2020-01-06 00:00:00,0.0,246.542853219,491.320007324,7.47019643962
R,2020-01-13 00:00:00,0.0,252.995002747,491.320007324,7.61733934376
