type,date-time,steam,liquid,enthalpy,WHPabs
R,2000-03-13 00:00:00,0.00,64.14,269.04,2.42
R,2000-03-20 00:00:00,0.00,64.14,278.19,2.67
R,2000-03-27 00:00:00,0.00,64.14,279.16,2.70
R,2000-04-03 00:00:00,0.00,128.17,271.40,2.49
R,2000-04-10 00:00:00,0.00,128.17,276.47,2.62
R,2000-04-17 00:00:00,0.00,128.17,265.27,2.33
R,2000-04-24 00:00:00,0.00,128.17,268.51,2.41
R,2000-05-01 00:00:00,0.00,111.66,273.71,2.55
R,2000-05-08 00:00:00,0.00,111.66,272.94,2.53
R,2000-05-15 00:00:00,0.00,111.66,274.72,2.58
R,2000-05-22 00:00:00,0.00,111.66,269.83,2.44
R,2000-05-29 00:00:00,0.00,115.55,271.40,2.49
R,2000-06-05 00:00:00,0.00,115.55,273.96,2.55
R,2000-06-12 00:00:00,0.00,115.55,279.64,2.71
R,2000-06-19 00:00:00,0.00,115.55,272.69,2.52
R,2000-06-26 00:00:00,0.00,115.55,278.68,2.69
R,2000-07-03 00:00:00,0.00,115.94,278.92,2.69
R,2000-07-10 00:00:00,0.00,115.94,277.70,2.66
R,2000-07-17 00:00:00,0.00,115.94,274.47,2.57
R,2000-07-24 00:00:00,0.00,115.94,274.72,2.58
R,2000-07-31 00:00:00,0.00,106.73,272.43,2.51
R,2000-08-07 00:00:00,0.00,119.54,260.21,2.20
R,2000-08-14 00:00:00,0.00,119.54,255.82,2.10
R,2000-08-21 00:00:00,0.00,119.54,265.27,2.33
R,2000-08-28 00:00:00,0.00,119.54,276.47,2.62
R,2000-09-04 00:00:00,0.00,114.08,280.60,2.74
R,2000-09-11 00:00:00,0.00,114.08,285.05,2.87
R,2000-09-18 00:00:00,0.00,114.08,284.36,2.85
R,2000-09-25 00:00:00,0.00,114.08,270.62,2.47
R,2000-10-02 00:00:00,0.00,114.08,277.21,2.64
R,2000-10-09 00:00:00,0.00,114.08,290.21,3.03
R,2000-10-30 00:00:00,0.00,130.57,257.30,2.13
