MeasuredDepth,Delta_north,Delta_east
0.0,0.0,0.0
430.0,2.33,0.74
450.0,2.42,0.68
460.0,2.39,0.58
488.0,2.22,-0.15
515.0,2.12,-1.57
544.0,2.65,-3.8
577.0,4.54,-7.33
610.0,7.88,-12.0
635.0,11.34,-16.32
664.0,16.19,-21.94
692.0,21.65,-27.76
719.0,27.65,-33.8
747.0,34.49,-40.4
777.0,42.27,-47.98
800.0,48.61,-54.23
833.0,58.05,-63.37
878.0,71.35,-76.45
906.0,79.95,-85.05
951.0,94.02,-99.38
980.0,103.33,-108.85
1013.0,114.2,-119.71
1050.0,125.87,-131.38
1087.0,136.51,-142.03
1141.0,151.72,-155.99
1188.0,165.5,-167.55
1234.0,179.55,-179.34
1280.0,194.3,-191.72
1335.0,211.81,-206.67
1391.0,229.34,-221.9
1438.0,243.26,-233.26
1447.0,245.69,-235.03
1494.0,256.3,-242.46
1541.0,264.3,-248.06
1590.0,271.71,-253.75
1610.0,271.71,-253.75
