MeasuredDepth,Delta_north,Delta_east
0.0,0.0,0.0
56.0,0.26,0.41
141.0,0.99,0.61
226.0,1.93,0.61
321.0,2.96,1.61
367.0,3.24,2.03
386.0,3.32,2.22
389.0,3.34,2.26
405.0,3.49,2.77
424.0,3.79,3.93
443.0,4.06,5.81
452.0,4.1,6.97
471.0,4.27,9.85
481.0,4.54,11.56
491.0,4.98,13.21
508.0,5.82,15.97
537.0,6.98,20.99
556.0,7.6,24.36
584.0,8.42,29.27
593.0,8.75,30.92
594.0,8.79,31.11
613.0,9.91,34.72
622.0,10.65,36.37
656.0,14.7,42.28
693.0,20.93,48.92
730.0,28.11,56.37
759.0,34.43,62.89
786.0,41.03,69.5
862.0,62.67,91.14
919.0,82.58,109.96
938.0,89.9,116.67
967.0,100.89,127.1
979.0,105.14,131.51
990.0,108.7,135.75
1000.0,111.68,139.71
1017.0,116.33,146.66
1034.0,120.41,153.95
1063.0,127.22,166.49
1092.0,134.14,178.48
1111.0,138.59,186.04
1122.0,141.18,190.53
1133.0,143.71,195.29
1142.0,145.81,199.33
1152.0,148.29,203.9
1161.0,150.64,208.13
1171.0,153.9,213.05
1201.0,150.49,228.43
1229.0,166.28,242.76
1259.0,171.73,258.15
1288.0,176.9,273.17
1316.0,182.44,287.6
1334.0,185.94,296.97
1366.0,191.88,313.72
1393.0,196.86,328.18
1422.0,202.73,344.29
1451.0,209.63,350.53
1498.0,221.16,387.75
1558.0,235.44,425.23
1613.0,249.6,461.85
1628.0,253.56,472.16
