MeasuredDepth,Delta_north,Delta_east
0.0,-10.0,0.0
303.0,-9.86,3.92
312.0,-9.85,4.24
319.0,-9.83,4.48
328.0,-9.84,4.79
340.0,-9.88,5.21
349.0,-9.93,5.53
368.0,-10.4,6.54
387.0,-11.39,8.02
407.0,-13.13,9.54
426.0,-15.46,11.1
445.0,-18.35,12.93
464.0,-21.73,14.8
486.0,-26.12,17.19
515.0,-32.73,20.61
544.0,-39.93,24.36
593.0,-52.92,31.72
633.0,-64.85,38.91
662.0,-74.51,44.94
700.0,-88.61,53.94
728.0,-99.8,61.11
741.0,-105.18,64.49
770.0,-117.45,72.01
808.0,-133.9,81.5
850.0,-152.27,91.69
879.0,-165.03,98.33
918.0,-182.47,107.03
956.0,-199.87,115.52
994.0,-217.36,123.49
1041.0,-238.58,133.16
1078.0,-254.9,140.6
1116.0,-271.39,148.29
1154.0,-287.89,155.81
1193.0,-304.61,163.08
1230.0,-320.31,169.43
1268.0,-336.33,175.42
1299.0,-349.28,180.26
1351.0,-370.7,189.13
1389.0,-386.39,196.12
1427.0,-402.73,202.71
1464.0,-419.2,208.87
1493.0,-432.32,213.91
1540.0,-454.08,222.03
1552.0,-459.75,223.99
