MeasuredDepth,Delta_north,Delta_east
0.0,0.0,0.0
306.0,-0.51,-0.85
334.0,-0.64,-0.7
363.0,-0.87,-0.02
392.0,-1.19,1.09
416.0,-1.62,2.5
443.0,-2.42,4.85
472.0,-3.59,8.33
500.0,-5.19,12.76
527.0,-7.27,18.18
555.0,-9.99,24.95
584.0,-13.48,33.15
610.0,-16.87,41.44
638.0,-20.57,51.23
665.0,-24.33,61.42
694.0,-28.9,73.11
722.0,-33.83,85.18
734.0,-36.03,90.56
772.0,-42.7,106.89
802.0,-47.45,118.64
834.0,-52.11,130.79
892.0,-60.13,152.24
936.0,-65.83,167.89
983.0,-71.85,184.02
1040.0,-79.66,202.9
1090.0,-86.95,219.26
1146.0,-95.62,237.86
1267.0,-115.55,276.33
1360.0,-131.07,303.22
1462.0,-148.1,332.7
1572.0,-167.78,363.66
1590.0,-167.18,363.66
