MeasuredDepth,Delta_north,Delta_east
0.0,0.0,0.0
9.8,0.0,-0.01
116.39,0.68,-1.27
259.32,0.05,-0.76
285.82,-0.45,-0.06
315.3,-0.73,0.88
346.64,-0.65,2.52
371.4,-0.25,4.41
400.24,1.04,7.25
427.57,3.03,10.48
457.74,5.64,14.41
487.7,8.86,18.94
515.1,12.43,24.04
543.92,16.54,30.37
572.9,21.02,37.66
601.68,26.08,45.66
630.58,31.79,54.34
659.61,37.82,63.71
688.08,43.94,73.66
717.14,50.4,84.78
746.35,57.13,96.87
774.33,63.86,108.98
803.17,70.9,121.68
832.5,77.93,134.44
870.06,86.62,150.79
898.94,93.37,163.74
927.77,100.34,176.77
957.84,107.41,190.23
986.82,114.3,203.03
1043.0,128.03,227.46
1096.0,141.4,251.07
1154.0,157.1,277.74
1200.0,169.87,298.98
1258.0,185.41,325.35
1318.0,200.74,352.18
1382.0,217.1,380.79
1436.0,230.69,404.82
1497.0,245.33,432.36
1555.0,258.7,458.59
1635.0,276.7,494.31
1650.0,280.05,501.02
1660.0,280.05,501.02
