well,east,north,elevation,type,drilldate
AH-1,412219.55,310746.73,803.0,producer,19680604
AH-2,412900.23,311226.23,808.0,producer,19730906
AH-5,412360.01,311087.47,789.0,producer,19700630
AH-6,411928.75,310790.06,783.0,producer,19700224
AH-7,411868.99,310345.61,805.0,producer,19700224
AH-8,411476.71,310253.88,811.0,producer,19720918
AH-9,411582.99,309417.66,871.0,producer,19700518
CH-9A,415008.554,312185.643,741.0,reinyector,20071222
CH-9B,415006.28,312195.38,741.0,reinyector,20180901
AH-30,411986.57,310465.2,804.0,producer,19790217
AH-31,412040.84,310101.23,845.0,producer,19810929
AH-32,412200.49,309635.3,882.0,producer,19811231
AH-32ST,412200.49,309635.3,882.0,producer, 19960101
AH-34,412158.76,309091.48,905.0,producer,19970703
CH-8,415733.62,310730.84,915.34,reinyector,19900307
CH-9,415006.0,312174.0,741.0,reinyector,19901125
CH-7,415491.0,311634.0,766.0,reinyector,19890723
AH-18,412852.89,309734.6,926.0,producer,19770524
AH-19,412761.89,310334.79,873.0,producer,19780228
AH-36,411621.57,310747.68,770.0,producer,19990616
AH-13,412481.02,310436.43,860.0,producer,19740114
CH-D,414348.61,310619.86,870.45,reinyector,19930609
AH-11,412322.87,311624.99,759.0,producer,19730111
AH-16,412129.41,309961.01,869.0,producer,19740805
AH-17,411700.31,310787.65,773.0,producer,19760830
AH-14,413716.02,310935.07,822.0,producer,19740512
AH-15,411252.4,310830.39,773.0,producer,19741019
AH-16A,412102.92,309992.79,868.76,producer,19980318
AH-33A,412658.53,309709.77,917.2,producer,19970825
AH-33B,412668.54,309709.19,917.2,producer,19970930
AH-33C,412668.54,309718.36,917.2,producer,20070830
AH-34A,412153.47,309083.04,905.0,producer,19970922
CH-7BIS,414851.0,311760.0,758.0,reinyector,19910226
AH-34B,412148.15,309074.59,905.0,producer,19971214
AH-4,412870.00,310835.00,788.00,producer, 19720804
AH-4BIS,412472.78,310841.69,812.25,producer,19970503
AH-35D,413770.0,309839.18,989.2,producer, 20150111
AH-35B,413769.2,309809.78,989.2,producer, 19980906
AH-35C,413770.0,309839.18,989.2,producer, 20070515
AH-35A,413765.54,309818.81,989.2,producer, 19980615
AH-27,412069.01,310315.32,822.0,producer, 19780429
AH-26,412081.99,310755.95,791.0,producer, 19751230
AH-25,412306.61,310893.4,799.0,producer, 19750827
AH-24,411855.53,310621.77,783.0,producer, 19750623
AH-23,412348.84,310625.73,825.0,producer, 19770910
AH-22,412561.32,310639.08,843.0,producer, 19750421
AH-21,412065.13,310606.5,795.0,producer, 19750304
AH-20,412090.02,310927.76,793.0,producer, 19741220
AH-29,412513.91,311102.61,795.0,producer, 19760211
AH-28,412209.37,310466.67,829.0,producer, 19781129
