well,MeasuredDepth,porcentage
AH-1,600,1
AH-11,700,1
AH-12,400,1
AH-13,750,1
AH-14,500,1
AH-15,450,1
AH-16,650,1
AH-16A,1000,1
AH-17,500,1
AH-18,1150,1
AH-19,700,1
AH-2,950,1
AH-20,600,1
AH-21,650,1
AH-22,550,1
AH-23,900,1
AH-24,550,1
AH-25,700,1
AH-26,550,1
AH-27,650,1
AH-28,700,1
AH-29,850,1
AH-3,550,1
AH-30,900,1
AH-31,800,1
AH-32,850,1
AH-33A,1300,1
AH-33B,1300,1
AH-33C,1300,1
AH-34,900,1
AH-34A,900,1
AH-34B,1150,1
AH-35A,1100,1
AH-35B,1100,1
AH-35C,1200,1
AH-35D,1200,1
AH-36,600,1
AH-4,600,1
AH-4BIS,600,1
AH-5,700,1
AH-6,500,1
AH-7,700,1
AH-8,450,1
AH-9,250,1
CH-7,700,1
CH-7BIS,1200,1
CH-8,2200,1
CH-9,1300,1
CH-9A,1400,1
CH-9B,1300,1
CH-D,1350,1
CCH-10,500,1
