ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW
AA141 , 0.39791E+07 , 0.25002E+03 , 0.11983E+00 , 0.88017E+00 , 0.10000E+01 , 0.00000E+00 , -.11983E+06 , 19.99298 , 799.14206
BA141 , 0.47365E+07 , 0.25003E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 19.99408 , 800.03009
CA141 , 0.57183E+07 , 0.25003E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 19.99574 , 801.16788
DA141 , 0.66039E+07 , 0.25004E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 19.99817 , 802.17858
EA141 , 0.71954E+07 , 0.25004E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.00045 , 802.84466
FA141 , 0.75900E+07 , 0.25005E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.00215 , 803.28580
GA141 , 0.79849E+07 , 0.25005E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.00381 , 803.72530
HA141 , 0.83800E+07 , 0.25006E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.00545 , 804.16309
IA141 , 0.93686E+07 , 0.25007E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.00895 , 805.25236
JA141 , 0.10954E+08 , 0.25009E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.01656 , 806.96480
KA141 , 0.13338E+08 , 0.25013E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.03055 , 809.47481
LA141 , 0.16530E+08 , 0.25019E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.05043 , 812.73088
MA141 , 0.19734E+08 , 0.25024E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.06824 , 815.90354
NA141 , 0.22947E+08 , 0.25027E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.08006 , 819.01157
OA141 , 0.24956E+08 , 0.25028E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.08227 , 820.92680
