ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW
AA117 , 0.41754E+09 , 0.25929E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.44893 , 1009.86301
BA117 , 0.41865E+09 , 0.25927E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.44094 , 1010.31943
CA117 , 0.41989E+09 , 0.25922E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.42073 , 1010.84593
DA117 , 0.42101E+09 , 0.25915E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.39228 , 1011.33736
EA117 , 0.42175E+09 , 0.25909E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.36782 , 1011.67437
FA117 , 0.42225E+09 , 0.25904E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.34966 , 1011.90223
GA117 , 0.42275E+09 , 0.25899E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.32965 , 1012.13326
HA117 , 0.42324E+09 , 0.25894E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.30779 , 1012.36747
IA117 , 0.42449E+09 , 0.25879E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.24840 , 1012.96127
JA117 , 0.42648E+09 , 0.25847E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.12402 , 1013.96183
KA117 , 0.42947E+09 , 0.25789E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.89596 , 1015.53565
LA117 , 0.43347E+09 , 0.25687E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.49793 , 1017.80125
MA117 , 0.43747E+09 , 0.25574E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.06797 , 1020.13242
NA117 , 0.44149E+09 , 0.25487E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 21.73819 , 1022.29892
OA117 , 0.44399E+09 , 0.25483E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 21.72559 , 1023.31658
