ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW
AA143 , 0.41754E+09 , 0.25935E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.47097 , 1009.82535
BA143 , 0.41865E+09 , 0.25933E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.46310 , 1010.28156
CA143 , 0.41989E+09 , 0.25928E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.44336 , 1010.80724
DA143 , 0.42101E+09 , 0.25921E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.41558 , 1011.29746
EA143 , 0.42175E+09 , 0.25915E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.39166 , 1011.63349
FA143 , 0.42225E+09 , 0.25910E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.37390 , 1011.86064
GA143 , 0.42274E+09 , 0.25905E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.35429 , 1012.09093
HA143 , 0.42324E+09 , 0.25900E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.33285 , 1012.32437
IA143 , 0.42448E+09 , 0.25885E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.27453 , 1012.91616
JA143 , 0.42647E+09 , 0.25854E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.15137 , 1013.91422
KA143 , 0.42946E+09 , 0.25796E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.92253 , 1015.48847
LA143 , 0.43346E+09 , 0.25689E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.50768 , 1017.78122
MA143 , 0.43746E+09 , 0.25565E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.03402 , 1020.18672
NA143 , 0.44147E+09 , 0.25462E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 21.64731 , 1022.45265
OA143 , 0.44398E+09 , 0.25464E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 21.65583 , 1023.43323
