ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW
AA144 , 0.41754E+09 , 0.25953E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.54551 , 1009.70277
BA144 , 0.41866E+09 , 0.25952E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.53977 , 1010.15547
CA144 , 0.41990E+09 , 0.25948E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.52526 , 1010.67245
DA144 , 0.42101E+09 , 0.25943E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.50482 , 1011.15041
EA144 , 0.42176E+09 , 0.25939E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.48726 , 1011.47581
FA144 , 0.42225E+09 , 0.25935E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.47422 , 1011.69505
GA144 , 0.42275E+09 , 0.25932E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.45985 , 1011.91657
HA144 , 0.42325E+09 , 0.25928E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.44414 , 1012.14039
IA144 , 0.42449E+09 , 0.25917E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.40133 , 1012.70613
JA144 , 0.42648E+09 , 0.25895E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.31158 , 1013.64781
KA144 , 0.42947E+09 , 0.25853E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.14598 , 1015.11446
LA144 , 0.43346E+09 , 0.25779E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.85444 , 1017.19419
MA144 , 0.43747E+09 , 0.25695E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.53130 , 1019.33429
NA144 , 0.44148E+09 , 0.25628E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.27206 , 1021.37139
OA144 , 0.44398E+09 , 0.25628E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.27179 , 1022.36876
