ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW
AA145 , 0.41754E+09 , 0.25970E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.61354 , 1009.58892
BA145 , 0.41866E+09 , 0.25969E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.60948 , 1010.03885
CA145 , 0.41989E+09 , 0.25967E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.59925 , 1010.54874
DA145 , 0.42101E+09 , 0.25963E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.58487 , 1011.01661
EA145 , 0.42176E+09 , 0.25960E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.57257 , 1011.33322
FA145 , 0.42225E+09 , 0.25958E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.56346 , 1011.54589
GA145 , 0.42275E+09 , 0.25955E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.55346 , 1011.76012
HA145 , 0.42325E+09 , 0.25952E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.54256 , 1011.97590
IA145 , 0.42449E+09 , 0.25945E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.51280 , 1012.51979
JA145 , 0.42648E+09 , 0.25930E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.45146 , 1013.41378
KA145 , 0.42947E+09 , 0.25902E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.33988 , 1014.78934
LA145 , 0.43346E+09 , 0.25855E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.15306 , 1016.69096
MA145 , 0.43746E+09 , 0.25806E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.96058 , 1018.60657
NA145 , 0.44147E+09 , 0.25769E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.81816 , 1020.44173
OA145 , 0.44397E+09 , 0.25766E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 22.80577 , 1021.46063
