ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW
AA147 , 0.41744E+09 , 0.25983E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.66720 , 1009.45904
BA147 , 0.41855E+09 , 0.25983E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.66455 , 1009.90685
CA147 , 0.41979E+09 , 0.25981E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.65588 , 1010.41847
DA147 , 0.42091E+09 , 0.26425E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 25.50590 , 1007.88429
EA147 , 0.42165E+09 , 0.26421E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 25.49031 , 1008.20665
FA147 , 0.42215E+09 , 0.26419E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 25.48424 , 1008.41487
GA147 , 0.42265E+09 , 0.26408E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 25.43283 , 1008.69388
HA147 , 0.42314E+09 , 0.26410E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 25.44420 , 1008.87497
IA147 , 0.42438E+09 , 0.25960E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.57370 , 1012.38094
JA147 , 0.42637E+09 , 0.25953E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.54430 , 1013.22070
KA147 , 0.42935E+09 , 0.25948E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.52586 , 1014.43937
LA147 , 0.43334E+09 , 0.26054E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.95451 , 1015.32498
MA147 , 0.43733E+09 , 0.26351E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 25.19209 , 1014.95678
NA147 , 0.44132E+09 , 0.25982E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.66297 , 1018.99012
OA147 , 0.44382E+09 , 0.25873E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.22689 , 1020.70059
