ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW
AA154 , 0.14624E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14129 , 810.37414
BA154 , 0.15519E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14128 , 811.31129
CA154 , 0.16514E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14128 , 812.34359
DA154 , 0.17411E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14128 , 813.26473
EA154 , 0.18010E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14128 , 813.87475
FA154 , 0.18409E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14127 , 814.27963
GA154 , 0.18808E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14127 , 814.68310
HA154 , 0.19208E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14127 , 815.08517
IA154 , 0.20208E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14126 , 816.08427
JA154 , 0.21811E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14125 , 817.66523
KA154 , 0.24221E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14123 , 819.99747
LA154 , 0.27444E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14120 , 823.03762
MA154 , 0.30680E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14118 , 826.00306
NA154 , 0.33927E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14116 , 828.89844
OA154 , 0.35964E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14116 , 830.67641
