ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW
AA153 , 0.41745E+09 , 0.25983E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.66427 , 1009.46618
BA153 , 0.41856E+09 , 0.25983E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.66393 , 1009.90993
CA153 , 0.41980E+09 , 0.25982E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.66313 , 1010.40402
DA153 , 0.42091E+09 , 0.25982E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.66204 , 1010.84961
EA153 , 0.42166E+09 , 0.25982E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.66112 , 1011.14714
FA153 , 0.42215E+09 , 0.25982E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.66045 , 1011.34567
GA153 , 0.42265E+09 , 0.25982E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.65972 , 1011.54435
HA153 , 0.42315E+09 , 0.25981E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.65893 , 1011.74319
IA153 , 0.42439E+09 , 0.25981E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.65677 , 1012.24081
JA153 , 0.42637E+09 , 0.25980E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.65250 , 1013.03913
KA153 , 0.42936E+09 , 0.25978E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.64500 , 1014.24015
LA153 , 0.43334E+09 , 0.25975E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.63377 , 1015.84686
MA153 , 0.43733E+09 , 0.25973E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.62359 , 1017.45574
NA153 , 0.44133E+09 , 0.25971E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.61685 , 1019.06303
OA153 , 0.44383E+09 , 0.25971E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.61598 , 1020.06424
