ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW
AA157 , 0.14624E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14339 , 810.36551
BA157 , 0.15519E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14339 , 811.30270
CA157 , 0.16514E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14338 , 812.33504
DA157 , 0.17411E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14338 , 813.25624
EA157 , 0.18010E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14338 , 813.86628
FA157 , 0.18409E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14338 , 814.27119
GA157 , 0.18808E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14338 , 814.67467
HA157 , 0.19208E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14337 , 815.07676
IA157 , 0.20208E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14337 , 816.07591
JA157 , 0.21811E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14336 , 817.65694
KA157 , 0.24221E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14334 , 819.98928
LA157 , 0.27444E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14331 , 823.02957
MA157 , 0.30680E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14329 , 825.99513
NA157 , 0.33926E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14327 , 828.89062
OA157 , 0.35963E+08 , 0.25045E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14327 , 830.66828
