ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW
AA158 , 0.41744E+09 , 0.25966E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.59587 , 1009.57877
BA158 , 0.41856E+09 , 0.25966E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.59572 , 1010.02214
CA158 , 0.41979E+09 , 0.25966E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.59533 , 1010.51547
DA158 , 0.42091E+09 , 0.25965E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.59479 , 1010.96007
EA158 , 0.42165E+09 , 0.25965E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.59434 , 1011.25678
FA158 , 0.42215E+09 , 0.25965E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.59401 , 1011.45471
GA158 , 0.42265E+09 , 0.25965E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.59365 , 1011.65275
HA158 , 0.42314E+09 , 0.25965E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.59326 , 1011.85089
IA158 , 0.42438E+09 , 0.25965E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.59220 , 1012.34662
JA158 , 0.42637E+09 , 0.25964E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.59012 , 1013.14119
KA158 , 0.42935E+09 , 0.25963E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.58649 , 1014.33562
LA158 , 0.43334E+09 , 0.25962E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.58115 , 1015.93241
MA158 , 0.43733E+09 , 0.25961E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.57633 , 1017.53228
NA158 , 0.44132E+09 , 0.25960E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.57312 , 1019.13362
OA158 , 0.44382E+09 , 0.25960E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 23.57268 , 1020.13404
